,Date,speih
0,1984-01-01,1.3511
1,1984-02-01,1.0483
2,1984-03-01,0.911
3,1984-04-01,0.9193
4,1984-05-01,0.212
5,1984-06-01,0.3824
6,1984-07-01,1.1556
7,1984-08-01,1.1917
8,1984-09-01,1.333
9,1984-10-01,1.1884
10,1984-11-01,1.7865
11,1984-12-01,1.2145
12,1985-01-01,0.1284
13,1985-02-01,0.3045
14,1985-03-01,0.3869
15,1985-04-01,0.1343
16,1985-05-01,-0.5871
17,1985-06-01,-0.7092
18,1985-07-01,-0.3799
19,1985-08-01,-0.7532
20,1985-09-01,0.0126
21,1985-10-01,0.1845
22,1985-11-01,0.7268
23,1985-12-01,1.0652
24,1986-01-01,0.8668
25,1986-02-01,1.515
26,1986-03-01,0.7581
27,1986-04-01,0.7596
28,1986-05-01,0.5354
29,1986-06-01,0.2902
30,1986-07-01,0.457
31,1986-08-01,-0.4235
32,1986-09-01,0.2262
33,1986-10-01,0.0284
34,1986-11-01,-0.223
35,1986-12-01,-0.7018
36,1987-01-01,-1.0127
37,1987-02-01,-1.0359
38,1987-03-01,-1.6281
39,1987-04-01,-2.1073
40,1987-05-01,-1.1085
41,1987-06-01,-0.4505
42,1987-07-01,0.523
43,1987-08-01,0.6217
44,1987-09-01,0.299
45,1987-10-01,0.4064
46,1987-11-01,0.0049
47,1987-12-01,0.0516
48,1988-01-01,-1.5734
49,1988-02-01,-1.9343
50,1988-03-01,-1.514
51,1988-04-01,-0.8869
52,1988-05-01,-0.955
53,1988-06-01,-1.3711
54,1988-07-01,-1.6366
55,1988-08-01,-1.4653
56,1988-09-01,-1.4869
57,1988-10-01,-1.853
58,1988-11-01,-1.3033
59,1988-12-01,-0.806
60,1989-01-01,-0.3295
61,1989-02-01,0.0133
62,1989-03-01,0.31
63,1989-04-01,0.5295
64,1989-05-01,-0.3181
65,1989-06-01,-0.2794
66,1989-07-01,-0.4441
67,1989-08-01,-0.3512
68,1989-09-01,-0.6191
69,1989-10-01,0.1317
70,1989-11-01,0.0493
71,1989-12-01,-0.7746
72,1990-01-01,-0.3705
73,1990-02-01,-0.336
74,1990-03-01,-0.6944
75,1990-04-01,-1.0759
76,1990-05-01,-0.562
77,1990-06-01,0.3094
78,1990-07-01,0.1947
79,1990-08-01,0.3696
80,1990-09-01,0.2608
81,1990-10-01,-0.0952
82,1990-11-01,-0.5639
83,1990-12-01,-1.5236
84,1991-01-01,-2.1442
85,1991-02-01,-3.2887
86,1991-03-01,-1.4048
87,1991-04-01,-0.8911
88,1991-05-01,-0.3528
89,1991-06-01,0.1228
90,1991-07-01,0.4318
91,1991-08-01,0.978
92,1991-09-01,0.8385
93,1991-10-01,0.8641
94,1991-11-01,0.8009
95,1991-12-01,0.0547
96,1992-01-01,-0.3412
97,1992-02-01,-0.5437
98,1992-03-01,-1.4068
99,1992-04-01,-2.0212
100,1992-05-01,-2.5577
101,1992-06-01,-2.0167
102,1992-07-01,-1.6927
103,1992-08-01,-1.8403
104,1992-09-01,-1.5116
105,1992-10-01,-0.9821
106,1992-11-01,-0.1393
107,1992-12-01,-0.1391
108,1993-01-01,0.473
109,1993-02-01,0.9065
110,1993-03-01,0.9387
111,1993-04-01,0.9943
112,1993-05-01,0.7276
113,1993-06-01,1.2737
114,1993-07-01,1.3155
115,1993-08-01,1.4089
116,1993-09-01,1.4772
117,1993-10-01,1.3704
118,1993-11-01,1.6274
119,1993-12-01,0.4238
120,1994-01-01,-0.8529
121,1994-02-01,-1.1932
122,1994-03-01,-1.5445
123,1994-04-01,-1.4454
124,1994-05-01,-1.1075
125,1994-06-01,-1.075
126,1994-07-01,-1.0001
127,1994-08-01,-1.2199
128,1994-09-01,-1.148
129,1994-10-01,-1.0569
130,1994-11-01,-0.8915
131,1994-12-01,-0.524
132,1995-01-01,0.5711
133,1995-02-01,0.4384
134,1995-03-01,1.3274
135,1995-04-01,1.3111
136,1995-05-01,1.5409
137,1995-06-01,1.9381
138,1995-07-01,1.9578
139,1995-08-01,1.9844
140,1995-09-01,1.739
141,1995-10-01,1.507
142,1995-11-01,0.9325
143,1995-12-01,0.3541
144,1996-01-01,0.043
145,1996-02-01,0.0718
146,1996-03-01,0.1979
147,1996-04-01,0.554
148,1996-05-01,0.9269
149,1996-06-01,0.2406
150,1996-07-01,0.0017
151,1996-08-01,-0.0573
152,1996-09-01,-0.0485
153,1996-10-01,-0.4484
154,1996-11-01,-0.152
155,1996-12-01,1.8103
156,1997-01-01,2.0569
157,1997-02-01,1.8237
158,1997-03-01,1.5844
159,1997-04-01,1.6941
160,1997-05-01,1.027
161,1997-06-01,0.0768
162,1997-07-01,-0.404
163,1997-08-01,0.2182
164,1997-09-01,0.5456
165,1997-10-01,0.4972
166,1997-11-01,1.1063
167,1997-12-01,0.2923
168,1998-01-01,0.1252
169,1998-02-01,0.0231
170,1998-03-01,-0.067
171,1998-04-01,-0.0991
172,1998-05-01,0.7773
173,1998-06-01,1.5537
174,1998-07-01,1.5483
175,1998-08-01,1.3661
176,1998-09-01,1.6303
177,1998-10-01,1.407
178,1998-11-01,1.0954
179,1998-12-01,-0.1746
180,1999-01-01,0.0643
181,1999-02-01,1.0196
182,1999-03-01,0.5826
183,1999-04-01,0.8422
184,1999-05-01,0.5818
185,1999-06-01,0.7484
186,1999-07-01,0.5908
187,1999-08-01,0.021
188,1999-09-01,0.094
189,1999-10-01,-0.3348
190,1999-11-01,-1.0935
191,1999-12-01,-1.7665
192,2000-01-01,-1.3169
193,2000-02-01,-0.9226
194,2000-03-01,-0.7643
195,2000-04-01,-0.5055
196,2000-05-01,-0.2131
197,2000-06-01,-0.1942
198,2000-07-01,-0.5265
199,2000-08-01,-1.0325
200,2000-09-01,-0.6849
201,2000-10-01,-0.0647
202,2000-11-01,-0.0319
203,2000-12-01,-0.0674
204,2001-01-01,-0.0661
205,2001-02-01,0.0403
206,2001-03-01,-0.7005
207,2001-04-01,-1.0924
208,2001-05-01,-1.5003
209,2001-06-01,-1.3875
210,2001-07-01,-1.2613
211,2001-08-01,-1.2655
212,2001-09-01,-1.4686
