"Year","Month","Mesic_median","Date","Event"
1984,5,6.3465,1984-05-15,"pre"
1984,6,46.0655,1984-06-15,"pre"
1984,7,94.82,1984-07-15,"pre"
1984,8,60.34,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,NA,1985-05-15,"pre"
1985,6,85.923,1985-06-15,"pre"
1985,7,50.5135,1985-07-15,"pre"
1985,8,25.227,1985-08-15,"pre"
1985,9,12.061,1985-09-15,"pre"
1985,10,NA,1985-10-15,"pre"
1986,5,74.951,1986-05-15,"pre"
1986,6,86.398,1986-06-15,"pre"
1986,7,47.272,1986-07-15,"pre"
1986,8,NA,1986-08-15,"pre"
1986,9,39.878,1986-09-15,"pre"
1986,10,5.219,1986-10-15,"pre"
1987,5,48.795,1987-05-15,"pre"
1987,6,NA,1987-06-15,"pre"
1987,7,38.709,1987-07-15,"pre"
1987,8,11.071,1987-08-15,"pre"
1987,9,3.855,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,3.321,1988-05-15,"pre"
1988,6,45.669,1988-06-15,"pre"
1988,7,26.511,1988-07-15,"pre"
1988,8,4.4285,1988-08-15,"pre"
1988,9,7.3345,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,19.177,1989-05-15,"pre"
1989,6,63.502,1989-06-15,"pre"
1989,7,39.8965,1989-07-15,"pre"
1989,8,NA,1989-08-15,"pre"
1989,9,13.207,1989-09-15,"pre"
1989,10,1.661,1989-10-15,"pre"
1990,5,26.1965,1990-05-15,"pre"
1990,6,42.487,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,NA,1990-08-15,"pre"
1990,9,9.786,1990-09-15,"pre"
1990,10,0,1990-10-15,"pre"
1991,5,46.541,1991-05-15,"pre"
1991,6,86.121,1991-06-15,"pre"
1991,7,14.2735,1991-07-15,"pre"
1991,8,16.7645,1991-08-15,"pre"
1991,9,10.003,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,17.437,1992-05-15,"pre"
1992,6,NA,1992-06-15,"pre"
1992,7,3.519,1992-07-15,"pre"
1992,8,NA,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,0,1992-10-15,"pre"
1993,5,17.793,1993-05-15,"pre"
1993,6,0,1993-06-15,"pre"
1993,7,88.81,1993-07-15,"pre"
1993,8,40.372,1993-08-15,"pre"
1993,9,NA,1993-09-15,"pre"
1993,10,0,1993-10-15,"pre"
1994,5,NA,1994-05-15,"pre"
1994,6,59.7655,1994-06-15,"pre"
1994,7,10.122,1994-07-15,"pre"
1994,8,11.4265,1994-08-15,"pre"
1994,9,3.539,1994-09-15,"pre"
1994,10,1.206,1994-10-15,"pre"
1995,5,NA,1995-05-15,"pre"
1995,6,2.135,1995-06-15,"pre"
1995,7,86.2005,1995-07-15,"pre"
1995,8,85.212,1995-08-15,"pre"
1995,9,14.076,1995-09-15,"pre"
1995,10,0,1995-10-15,"pre"
1996,5,0,1996-05-15,"pre"
1996,6,76.353,1996-06-15,"pre"
1996,7,17.912,1996-07-15,"pre"
1996,8,12.969,1996-08-15,"pre"
1996,9,1.186,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
1997,5,0.5735,1997-05-15,"pre"
1997,6,0,1997-06-15,"pre"
1997,7,52.035,1997-07-15,"pre"
1997,8,17.437,1997-08-15,"pre"
1997,9,7.078,1997-09-15,"pre"
1997,10,0.237,1997-10-15,"pre"
1998,5,0,1998-05-15,"pre"
1998,6,43.614,1998-06-15,"pre"
1998,7,69.75,1998-07-15,"pre"
1998,8,27.8955,1998-08-15,"pre"
1998,9,8.501,1998-09-15,"pre"
1998,10,0,1998-10-15,"pre"
1999,5,NA,1999-05-15,"pre"
1999,6,26.274,1999-06-15,"pre"
1999,7,16.31,1999-07-15,"pre"
1999,8,13.562,1999-08-15,"pre"
1999,9,8.1645,1999-09-15,"pre"
1999,10,0.7115,1999-10-15,"pre"
2000,5,0,2000-05-15,"pre"
2000,6,53.636,2000-06-15,"pre"
2000,7,21.549,2000-07-15,"pre"
2000,8,13.384,2000-08-15,"pre"
2000,9,7.829,2000-09-15,"pre"
2000,10,0,2000-10-15,"pre"
2001,5,15.9935,2001-05-15,"pre"
2001,6,23.1305,2001-06-15,"pre"
2001,7,9.153,2001-07-15,"pre"
2001,8,11.466,2001-08-15,"pre"
2001,9,6.1485,2001-09-15,"pre"
2001,10,0,2001-10-15,"pre"
2002,5,0.02,2002-05-15,"pre"
2002,6,28.112,2002-06-15,"pre"
2002,7,28.844,2002-07-15,"pre"
2002,8,7.651,2002-08-15,"pre"
2002,9,9.213,2002-09-15,"pre"
2002,10,0,2002-10-15,"pre"
2003,5,38.71,2003-05-15,"pre"
2003,6,25.0285,2003-06-15,"pre"
2003,7,22.2605,2003-07-15,"pre"
2003,8,11.1105,2003-08-15,"pre"
2003,9,NA,2003-09-15,"pre"
2003,10,0,2003-10-15,"pre"
2004,5,28.232,2004-05-15,"pre"
2004,6,39.1045,2004-06-15,"pre"
2004,7,28.666,2004-07-15,"pre"
2004,8,23.012,2004-08-15,"pre"
2004,9,0,2004-09-15,"pre"
2004,10,0,2004-10-15,"pre"
2005,5,NA,2005-05-15,"pre"
2005,6,0,2005-06-15,"pre"
2005,7,59.8055,2005-07-15,"pre"
2005,8,21.1735,2005-08-15,"pre"
2005,9,12.06,2005-09-15,"pre"
2005,10,0.7315,2005-10-15,"pre"
2006,5,5.832,2006-05-15,"pre"
2006,6,58.797,2006-06-15,"pre"
2006,7,20.719,2006-07-15,"pre"
2006,8,6.267,2006-08-15,"pre"
2006,9,4.5275,2006-09-15,"pre"
2006,10,0.7115,2006-10-15,"pre"
2007,5,5.496,2007-05-15,"pre"
2007,6,14.194,2007-06-15,"pre"
2007,7,2.768,2007-07-15,"pre"
2007,8,2.1545,2007-08-15,"pre"
2007,9,2.8665,2007-09-15,"pre"
2007,10,NA,2007-10-15,"pre"
2008,5,0,2008-05-15,"pre"
2008,6,36.9705,2008-06-15,"pre"
2008,7,32.4815,2008-07-15,"pre"
2008,8,17.931,2008-08-15,"pre"
2008,9,8.7775,2008-09-15,"pre"
2008,10,1.423,2008-10-15,"pre"
2009,5,6.287,2009-05-15,"pre"
2009,6,48.437,2009-06-15,"pre"
2009,7,72.123,2009-07-15,"pre"
2009,8,25.8795,2009-08-15,"pre"
2009,9,3.677,2009-09-15,"pre"
2009,10,1.206,2009-10-15,"pre"
2010,5,3.381,2010-05-15,"pre"
2010,6,NA,2010-06-15,"pre"
2010,7,42.327,2010-07-15,"pre"
2010,8,26.0365,2010-08-15,"pre"
2010,9,11.9215,2010-09-15,"pre"
2010,10,0,2010-10-15,"pre"
2011,5,0,2011-05-15,"pre"
2011,6,NA,2011-06-15,"pre"
2011,7,54.684,2011-07-15,"pre"
2011,8,29.101,2011-08-15,"pre"
2011,9,19.137,2011-09-15,"pre"
2011,10,14.55,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,NA,2013-05-15,"pre"
2013,6,34.934,2013-06-15,"pre"
2013,7,28.2115,2013-07-15,"pre"
2013,8,8.145,2013-08-15,"pre"
2013,9,20.0855,2013-09-15,"pre"
2013,10,0,2013-10-15,"pre"
2014,5,3.697,2014-05-15,"pre"
