"Year","Month","Mesic_median","Date","Event"
1984,5,29.3385,1984-05-15,"pre"
1984,6,0,1984-06-15,"pre"
1984,7,30.486,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,64.279,1985-05-15,"pre"
1985,6,7.4835,1985-06-15,"pre"
1985,7,18.6865,1985-07-15,"pre"
1985,8,NA,1985-08-15,"pre"
1985,9,21.35,1985-09-15,"pre"
1985,10,1.7905,1985-10-15,"pre"
1986,5,77.227,1986-05-15,"pre"
1986,6,49.5865,1986-06-15,"pre"
1986,7,13.04,1986-07-15,"pre"
1986,8,7.071,1986-08-15,"pre"
1986,9,NA,1986-09-15,"pre"
1986,10,32.415,1986-10-15,"pre"
1987,5,55.372,1987-05-15,"pre"
1987,6,9.4125,1987-06-15,"pre"
1987,7,33.4255,1987-07-15,"pre"
1987,8,0,1987-08-15,"pre"
1987,9,34.8485,1987-09-15,"pre"
1987,10,21.763,1987-10-15,"pre"
1988,5,30.1655,1988-05-15,"pre"
1988,6,0,1988-06-15,"pre"
1988,7,11.845,1988-07-15,"pre"
1988,8,9.826,1988-08-15,"pre"
1988,9,5.464,1988-09-15,"pre"
1988,10,9.55,1988-10-15,"pre"
1989,5,NA,1989-05-15,"pre"
1989,6,87.236,1989-06-15,"pre"
1989,7,25.3445,1989-07-15,"pre"
1989,8,13.8665,1989-08-15,"pre"
1989,9,5.923,1989-09-15,"pre"
1989,10,8.54,1989-10-15,"pre"
1990,5,0.6885,1990-05-15,"pre"
1990,6,36.64,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,21.396,1990-08-15,"pre"
1990,9,9.734,1990-09-15,"pre"
1990,10,0,1990-10-15,"pre"
1991,5,81.083,1991-05-15,"pre"
1991,6,83.287,1991-06-15,"pre"
1991,7,0,1991-07-15,"pre"
1991,8,24.151,1991-08-15,"pre"
1991,9,0.275,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,20.202,1992-05-15,"pre"
1992,6,8.862,1992-06-15,"pre"
1992,7,NA,1992-07-15,"pre"
1992,8,4.5,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,NA,1992-10-15,"pre"
1993,5,77.9155,1993-05-15,"pre"
1993,6,84.848,1993-06-15,"pre"
1993,7,66.713,1993-07-15,"pre"
1993,8,26.6765,1993-08-15,"pre"
1993,9,3.214,1993-09-15,"pre"
1993,10,1.928,1993-10-15,"pre"
1994,5,65.656,1994-05-15,"pre"
1994,6,NA,1994-06-15,"pre"
1994,7,18.641,1994-07-15,"pre"
1994,8,8.2645,1994-08-15,"pre"
1994,9,4.591,1994-09-15,"pre"
1994,10,0,1994-10-15,"pre"
1995,5,64.279,1995-05-15,"pre"
1995,6,NA,1995-06-15,"pre"
1995,7,53.6275,1995-07-15,"pre"
1995,8,33.9305,1995-08-15,"pre"
1995,9,19.927,1995-09-15,"pre"
1995,10,0.826,1995-10-15,"pre"
1996,5,40.358,1996-05-15,"pre"
1996,6,54.546,1996-06-15,"pre"
1996,7,24.335,1996-07-15,"pre"
1996,8,18.366,1996-08-15,"pre"
1996,9,NA,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
1997,5,27.089,1997-05-15,"pre"
1997,6,54.6375,1997-06-15,"pre"
1997,7,46.2355,1997-07-15,"pre"
1997,8,36.456,1997-08-15,"pre"
1997,9,8.9535,1997-09-15,"pre"
1997,10,1.148,1997-10-15,"pre"
1998,5,NA,1998-05-15,"pre"
1998,6,80.7165,1998-06-15,"pre"
1998,7,45.823,1998-07-15,"pre"
1998,8,27.273,1998-08-15,"pre"
1998,9,15.8865,1998-09-15,"pre"
1998,10,3.306,1998-10-15,"pre"
1999,5,14.233,1999-05-15,"pre"
1999,6,0,1999-06-15,"pre"
1999,7,18.366,1999-07-15,"pre"
1999,8,22.039,1999-08-15,"pre"
1999,9,16.667,1999-09-15,"pre"
1999,10,3.4895,1999-10-15,"pre"
2000,5,12.764,2000-05-15,"pre"
2000,6,28.6965,2000-06-15,"pre"
2000,7,33.38,2000-07-15,"pre"
2000,8,31.176,2000-08-15,"pre"
2000,9,12.122,2000-09-15,"pre"
2000,10,1.7905,2000-10-15,"pre"
2001,5,54.454,2001-05-15,"pre"
2001,6,35.997,2001-06-15,"pre"
2001,7,0,2001-07-15,"pre"
2001,8,21.672,2001-08-15,"pre"
2001,9,13.2235,2001-09-15,"pre"
2001,10,0,2001-10-15,"pre"
2002,5,0,2002-05-15,"pre"
2002,6,24.793,2002-06-15,"pre"
2002,7,32.875,2002-07-15,"pre"
2002,8,26.722,2002-08-15,"pre"
2002,9,17.4015,2002-09-15,"pre"
