"Year","Month","Mesic_median","Date","Event"
1984,5,30.6715,1984-05-15,"pre"
1984,6,0,1984-06-15,"pre"
1984,7,0,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,59.722,1985-05-15,"pre"
1985,6,0,1985-06-15,"pre"
1985,7,0,1985-07-15,"pre"
1985,8,1.968,1985-08-15,"pre"
1985,9,0,1985-09-15,"pre"
1985,10,0,1985-10-15,"pre"
1986,5,60.648,1986-05-15,"pre"
1986,6,7.639,1986-06-15,"pre"
1986,7,0,1986-07-15,"pre"
1986,8,0,1986-08-15,"pre"
1986,9,NA,1986-09-15,"pre"
1986,10,0,1986-10-15,"pre"
1987,5,12.095,1987-05-15,"pre"
1987,6,0,1987-06-15,"pre"
1987,7,0.2315,1987-07-15,"pre"
1987,8,0,1987-08-15,"pre"
1987,9,1.2155,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,19.618,1988-05-15,"pre"
1988,6,9.028,1988-06-15,"pre"
1988,7,2.199,1988-07-15,"pre"
1988,8,0,1988-08-15,"pre"
1988,9,0,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,NA,1989-05-15,"pre"
1989,6,85.764,1989-06-15,"pre"
1989,7,5.7875,1989-07-15,"pre"
1989,8,4.977,1989-08-15,"pre"
1989,9,0,1989-09-15,"pre"
1989,10,2.431,1989-10-15,"pre"
1990,5,0.347,1990-05-15,"pre"
1990,6,6.366,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,24.074,1990-08-15,"pre"
1990,9,17.882,1990-09-15,"pre"
1990,10,0,1990-10-15,"pre"
1991,5,90.046,1991-05-15,"pre"
1991,6,75.463,1991-06-15,"pre"
1991,7,1.389,1991-07-15,"pre"
1991,8,12.905,1991-08-15,"pre"
1991,9,0,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,1.389,1992-05-15,"pre"
1992,6,1.5045,1992-06-15,"pre"
1992,7,NA,1992-07-15,"pre"
1992,8,2.778,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,0,1992-10-15,"pre"
1993,5,76.6205,1993-05-15,"pre"
1993,6,64.236,1993-06-15,"pre"
1993,7,38.831,1993-07-15,"pre"
1993,8,8.507,1993-08-15,"pre"
1993,9,0,1993-09-15,"pre"
1993,10,0,1993-10-15,"pre"
1994,5,21.643,1994-05-15,"pre"
1994,6,NA,1994-06-15,"pre"
1994,7,12.6735,1994-07-15,"pre"
1994,8,8.449,1994-08-15,"pre"
1994,9,1.389,1994-09-15,"pre"
1994,10,0,1994-10-15,"pre"
1995,5,80.324,1995-05-15,"pre"
1995,6,NA,1995-06-15,"pre"
1995,7,52.3145,1995-07-15,"pre"
1995,8,15.4515,1995-08-15,"pre"
1995,9,2.662,1995-09-15,"pre"
1995,10,0,1995-10-15,"pre"
1996,5,28.935,1996-05-15,"pre"
1996,6,48.842,1996-06-15,"pre"
1996,7,23.0905,1996-07-15,"pre"
1996,8,9.7805,1996-08-15,"pre"
1996,9,NA,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
1997,5,12.731,1997-05-15,"pre"
1997,6,28.067,1997-06-15,"pre"
1997,7,46.5275,1997-07-15,"pre"
1997,8,21.065,1997-08-15,"pre"
1997,9,3.472,1997-09-15,"pre"
1997,10,2.5465,1997-10-15,"pre"
1998,5,NA,1998-05-15,"pre"
1998,6,72.222,1998-06-15,"pre"
1998,7,45.833,1998-07-15,"pre"
1998,8,14.699,1998-08-15,"pre"
1998,9,1.6205,1998-09-15,"pre"
1998,10,0,1998-10-15,"pre"
1999,5,0.2895,1999-05-15,"pre"
1999,6,0,1999-06-15,"pre"
1999,7,4.1665,1999-07-15,"pre"
1999,8,0,1999-08-15,"pre"
1999,9,0,1999-09-15,"pre"
1999,10,0,1999-10-15,"pre"
2000,5,4.398,2000-05-15,"pre"
2000,6,2.257,2000-06-15,"pre"
2000,7,7.407,2000-07-15,"pre"
2000,8,4.456,2000-08-15,"pre"
2000,9,0,2000-09-15,"pre"
2000,10,0,2000-10-15,"pre"
2001,5,48.495,2001-05-15,"pre"
2001,6,0.463,2001-06-15,"pre"
2001,7,0,2001-07-15,"pre"
2001,8,0,2001-08-15,"pre"
2001,9,0,2001-09-15,"pre"
