,Date,speih
0,1984-01-01,1.5278
1,1984-02-01,0.137
2,1984-03-01,0.9986
3,1984-04-01,1.5049
4,1984-05-01,0.2377
5,1984-06-01,0.2645
6,1984-07-01,1.5063
7,1984-08-01,2.7669
8,1984-09-01,2.0772
9,1984-10-01,2.4872
10,1984-11-01,2.4389
11,1984-12-01,2.1235
12,1985-01-01,2.084
13,1985-02-01,0.7479
14,1985-03-01,1.0264
15,1985-04-01,-0.3909
16,1985-05-01,-0.2608
17,1985-06-01,-0.4254
18,1985-07-01,0.4388
19,1985-08-01,-0.5955
20,1985-09-01,-0.138
21,1985-10-01,-0.0478
22,1985-11-01,0.5365
23,1985-12-01,0.7297
24,1986-01-01,-0.9722
25,1986-02-01,0.9187
26,1986-03-01,-0.5978
27,1986-04-01,-0.8556
28,1986-05-01,-1.2831
29,1986-06-01,-1.0671
30,1986-07-01,0.111
31,1986-08-01,-0.3527
32,1986-09-01,0.3048
33,1986-10-01,0.892
34,1986-11-01,1.3629
35,1986-12-01,1.1885
36,1987-01-01,0.5402
37,1987-02-01,0.9565
38,1987-03-01,0.8303
39,1987-04-01,-0.434
40,1987-05-01,-0.4496
41,1987-06-01,-0.3268
42,1987-07-01,-0.8256
43,1987-08-01,-0.7188
44,1987-09-01,-0.882
45,1987-10-01,-0.8277
46,1987-11-01,-0.8957
47,1987-12-01,-0.7714
48,1988-01-01,-0.2056
49,1988-02-01,-0.7842
50,1988-03-01,0.0327
51,1988-04-01,-0.219
52,1988-05-01,-0.4066
53,1988-06-01,0.0322
54,1988-07-01,-0.3789
55,1988-08-01,0.0493
56,1988-09-01,0.0816
57,1988-10-01,0.073
58,1988-11-01,0.535
59,1988-12-01,0.0966
60,1989-01-01,0.3571
61,1989-02-01,0.2281
62,1989-03-01,-0.3419
63,1989-04-01,0.0629
64,1989-05-01,-0.2812
65,1989-06-01,0.0481
66,1989-07-01,0.2019
67,1989-08-01,-0.4181
68,1989-09-01,-0.0544
69,1989-10-01,-0.1179
70,1989-11-01,-0.1156
71,1989-12-01,-0.579
72,1990-01-01,-1.4389
73,1990-02-01,-1.3667
74,1990-03-01,-1.0602
75,1990-04-01,-0.4393
76,1990-05-01,-0.3236
77,1990-06-01,-0.9952
78,1990-07-01,-0.4311
79,1990-08-01,-0.0042
80,1990-09-01,0.2028
81,1990-10-01,0.2269
82,1990-11-01,0.4298
83,1990-12-01,0.9327
84,1991-01-01,0.3176
85,1991-02-01,-0.6701
86,1991-03-01,-1.1233
87,1991-04-01,-1.192
88,1991-05-01,-1.0256
89,1991-06-01,-0.525
90,1991-07-01,-0.0759
91,1991-08-01,0.6486
92,1991-09-01,0.4582
93,1991-10-01,0.344
94,1991-11-01,1.0395
95,1991-12-01,0.437
96,1992-01-01,-0.4081
97,1992-02-01,-1.644
98,1992-03-01,-1.014
99,1992-04-01,-1.5409
100,1992-05-01,-1.6892
101,1992-06-01,-1.0855
102,1992-07-01,-0.815
103,1992-08-01,-0.1503
104,1992-09-01,-0.5216
105,1992-10-01,-0.169
106,1992-11-01,0.4833
107,1992-12-01,0.0616
108,1993-01-01,-0.2581
109,1993-02-01,-0.3761
110,1993-03-01,0.4537
111,1993-04-01,0.4205
112,1993-05-01,-0.2049
113,1993-06-01,0.1728
114,1993-07-01,-0.3276
115,1993-08-01,-0.8104
116,1993-09-01,-0.6729
117,1993-10-01,-0.2848
118,1993-11-01,0.1025
119,1993-12-01,-0.4588
120,1994-01-01,-0.0024
121,1994-02-01,0.2138
122,1994-03-01,-0.4405
123,1994-04-01,-0.313
124,1994-05-01,-0.3198
125,1994-06-01,-0.5476
126,1994-07-01,-1.4612
127,1994-08-01,-1.0475
128,1994-09-01,-0.6694
129,1994-10-01,-0.9629
130,1994-11-01,-0.9348
131,1994-12-01,-0.8336
132,1995-01-01,0.1572
133,1995-02-01,0.3777
134,1995-03-01,0.8583
135,1995-04-01,1.412
136,1995-05-01,1.8074
137,1995-06-01,2.5935
138,1995-07-01,2.7001
139,1995-08-01,2.3282
140,1995-09-01,1.7856
141,1995-10-01,1.3626
142,1995-11-01,0.6112
143,1995-12-01,0.0462
144,1996-01-01,0.8787
145,1996-02-01,1.7315
146,1996-03-01,1.4693
