,Date,speih
0,1984-01-01,1.3396
1,1984-02-01,1.0934
2,1984-03-01,1.3779
3,1984-04-01,1.5555
4,1984-05-01,1.0195
5,1984-06-01,0.9129
6,1984-07-01,1.2014
7,1984-08-01,1.4184
8,1984-09-01,1.2936
9,1984-10-01,1.6007
10,1984-11-01,2.5043
11,1984-12-01,1.7786
12,1985-01-01,1.4038
13,1985-02-01,0.8575
14,1985-03-01,0.5489
15,1985-04-01,-0.4674
16,1985-05-01,-1.447
17,1985-06-01,-1.5452
18,1985-07-01,-1.7032
19,1985-08-01,-1.5251
20,1985-09-01,-0.9938
21,1985-10-01,-0.5187
22,1985-11-01,-0.1994
23,1985-12-01,-0.0234
24,1986-01-01,-0.0292
25,1986-02-01,0.4996
26,1986-03-01,-0.156
27,1986-04-01,-0.3675
28,1986-05-01,-0.6794
29,1986-06-01,-1.0173
30,1986-07-01,-0.3544
31,1986-08-01,-1.3557
32,1986-09-01,0.1296
33,1986-10-01,0.2654
34,1986-11-01,0.5674
35,1986-12-01,0.6124
36,1987-01-01,0.0823
37,1987-02-01,0.3111
38,1987-03-01,-0.7095
39,1987-04-01,-1.2933
40,1987-05-01,-1.337
41,1987-06-01,-1.1467
42,1987-07-01,0.392
43,1987-08-01,0.2607
44,1987-09-01,-0.1846
45,1987-10-01,-0.2253
46,1987-11-01,-0.3499
47,1987-12-01,-0.1808
48,1988-01-01,-1.9098
49,1988-02-01,-1.9079
50,1988-03-01,-1.9577
51,1988-04-01,-1.2505
52,1988-05-01,-0.9237
53,1988-06-01,-0.7028
54,1988-07-01,-1.0497
55,1988-08-01,-0.5132
56,1988-09-01,-0.3556
57,1988-10-01,-1.4117
58,1988-11-01,-0.696
59,1988-12-01,-1.4919
60,1989-01-01,-0.4856
61,1989-02-01,-0.4434
62,1989-03-01,0.3759
63,1989-04-01,1.2333
64,1989-05-01,0.7499
65,1989-06-01,0.9187
66,1989-07-01,0.5222
67,1989-08-01,0.9123
68,1989-09-01,0.4939
69,1989-10-01,0.1513
70,1989-11-01,-0.3063
71,1989-12-01,-0.6889
72,1990-01-01,-0.2794
73,1990-02-01,-0.6384
74,1990-03-01,-0.7918
75,1990-04-01,-1.1541
76,1990-05-01,-0.4131
77,1990-06-01,0.1116
78,1990-07-01,-0.1872
79,1990-08-01,0.1094
80,1990-09-01,-0.0822
81,1990-10-01,0.2507
82,1990-11-01,-0.2293
83,1990-12-01,-0.5181
84,1991-01-01,-0.9163
85,1991-02-01,-1.3543
86,1991-03-01,-0.6996
87,1991-04-01,-0.4951
88,1991-05-01,0.0429
89,1991-06-01,0.7879
