"Year","Month","Mesic_median","Date","Event"
1984,5,37.2425,1984-05-15,"pre"
1984,6,23.251,1984-06-15,"pre"
1984,7,33.745,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,77.366,1985-05-15,"pre"
1985,6,86.4195,1985-06-15,"pre"
1985,7,3.8065,1985-07-15,"pre"
1985,8,NA,1985-08-15,"pre"
1985,9,0,1985-09-15,"pre"
1985,10,0,1985-10-15,"pre"
1986,5,73.868,1986-05-15,"pre"
1986,6,44.753,1986-06-15,"pre"
1986,7,10.391,1986-07-15,"pre"
1986,8,2.469,1986-08-15,"pre"
1986,9,NA,1986-09-15,"pre"
1986,10,5.144,1986-10-15,"pre"
1987,5,42.181,1987-05-15,"pre"
1987,6,67.593,1987-06-15,"pre"
1987,7,0,1987-07-15,"pre"
1987,8,0,1987-08-15,"pre"
1987,9,0,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,45.0615,1988-05-15,"pre"
1988,6,78.601,1988-06-15,"pre"
1988,7,69.753,1988-07-15,"pre"
1988,8,7.407,1988-08-15,"pre"
1988,9,0,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,NA,1989-05-15,"pre"
1989,6,91.358,1989-06-15,"pre"
1989,7,17.7985,1989-07-15,"pre"
1989,8,0,1989-08-15,"pre"
1989,9,1.543,1989-09-15,"pre"
1989,10,5.556,1989-10-15,"pre"
1990,5,53.2925,1990-05-15,"pre"
1990,6,45.267,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,2.572,1990-08-15,"pre"
1990,9,3.8065,1990-09-15,"pre"
1990,10,5.144,1990-10-15,"pre"
1991,5,94.856,1991-05-15,"pre"
1991,6,33.539,1991-06-15,"pre"
1991,7,10.288,1991-07-15,"pre"
1991,8,0,1991-08-15,"pre"
1991,9,0,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,32.922,1992-05-15,"pre"
1992,6,19.239,1992-06-15,"pre"
1992,7,NA,1992-07-15,"pre"
1992,8,0,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,NA,1992-10-15,"pre"
1993,5,89.0945,1993-05-15,"pre"
1993,6,93.416,1993-06-15,"pre"
1993,7,71.2965,1993-07-15,"pre"
1993,8,22.428,1993-08-15,"pre"
1993,9,0,1993-09-15,"pre"
1993,10,0,1993-10-15,"pre"
1994,5,74.28,1994-05-15,"pre"
1994,6,NA,1994-06-15,"pre"
1994,7,12.14,1994-07-15,"pre"
1994,8,0,1994-08-15,"pre"
1994,9,0,1994-09-15,"pre"
1994,10,0,1994-10-15,"pre"
1995,5,95.062,1995-05-15,"pre"
1995,6,NA,1995-06-15,"pre"
1995,7,58.2305,1995-07-15,"pre"
1995,8,3.9095,1995-08-15,"pre"
1995,9,0,1995-09-15,"pre"
1995,10,0,1995-10-15,"pre"
1996,5,51.4405,1996-05-15,"pre"
1996,6,81.687,1996-06-15,"pre"
1996,7,30.144,1996-07-15,"pre"
1996,8,4.6295,1996-08-15,"pre"
1996,9,NA,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
1997,5,0,1997-05-15,"pre"
1997,6,86.214,1997-06-15,"pre"
1997,7,27.2635,1997-07-15,"pre"
1997,8,3.292,1997-08-15,"pre"
1997,9,0,1997-09-15,"pre"
1997,10,0,1997-10-15,"pre"
1998,5,NA,1998-05-15,"pre"
