"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,12.693,12.693,1984-05-15
1984,6,92.645,92.645,1984-06-15
1984,7,94.82,94.82,1984-07-15
1984,8,60.34,60.34,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,NA,NA,1985-05-15
1985,6,87.07,87.07,1985-06-15
1985,7,NA,NA,1985-07-15
1985,8,27.5005,27.5005,1985-08-15
1985,9,13.01,13.01,1985-09-15
1985,10,NA,NA,1985-10-15
1986,5,74.951,74.951,1986-05-15
1986,6,86.7345,86.7345,1986-06-15
1986,7,42.586,42.586,1986-07-15
1986,8,NA,NA,1986-08-15
1986,9,42.389,42.389,1986-09-15
1986,10,5.694,5.694,1986-10-15
1987,5,51.721,51.721,1987-05-15
1987,6,NA,NA,1987-06-15
1987,7,38.867,38.867,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,4.3295,4.3295,1987-09-15
1987,10,0,0,1987-10-15
1988,5,NA,NA,1988-05-15
1988,6,45.748,45.748,1988-06-15
1988,7,26.847,26.847,1988-07-15
1988,8,6.4055,6.4055,1988-08-15
1988,9,7.3345,7.3345,1988-09-15
1988,10,0,0,1988-10-15
1989,5,19.256,19.256,1989-05-15
1989,6,64.708,64.708,1989-06-15
1989,7,40.786,40.786,1989-07-15
1989,8,NA,NA,1989-08-15
1989,9,13.681,13.681,1989-09-15
1989,10,1.661,1.661,1989-10-15
1990,5,52.393,52.393,1990-05-15
1990,6,42.487,42.487,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,NA,NA,1990-08-15
1990,9,10.5175,10.5175,1990-09-15
1990,10,0,0,1990-10-15
1991,5,46.541,46.541,1991-05-15
1991,6,86.635,86.635,1991-06-15
1991,7,28.547,28.547,1991-07-15
1991,8,18.781,18.781,1991-08-15
1991,9,10.003,10.003,1991-09-15
1991,10,NA,NA,1991-10-15
1992,5,32.502,32.502,1992-05-15
1992,6,NA,NA,1992-06-15
1992,7,4.033,4.033,1992-07-15
1992,8,NA,NA,1992-08-15
1992,9,0,0,1992-09-15
1992,10,0,0,1992-10-15
1993,5,17.793,17.793,1993-05-15
1993,6,NA,NA,1993-06-15
1993,7,88.81,88.81,1993-07-15
1993,8,40.372,40.372,1993-08-15
1993,9,NA,NA,1993-09-15
1993,10,0,0,1993-10-15
1994,5,NA,NA,1994-05-15
1994,6,59.7655,59.7655,1994-06-15
1994,7,11.466,11.466,1994-07-15
1994,8,11.6045,11.6045,1994-08-15
1994,9,3.776,3.776,1994-09-15
1994,10,1.206,1.206,1994-10-15
1995,5,NA,NA,1995-05-15
1995,6,NA,NA,1995-06-15
1995,7,86.3585,86.3585,1995-07-15
1995,8,85.212,85.212,1995-08-15
1995,9,NA,NA,1995-09-15
1995,10,0,0,1995-10-15
1996,5,0,0,1996-05-15
1996,6,76.867,76.867,1996-06-15
1996,7,19.217,19.217,1996-07-15
1996,8,14.471,14.471,1996-08-15
1996,9,3.321,3.321,1996-09-15
1996,10,0,0,1996-10-15
1997,5,1.147,1.147,1997-05-15
1997,6,0,0,1997-06-15
1997,7,52.312,52.312,1997-07-15
1997,8,17.5955,17.5955,1997-08-15
1997,9,7.078,7.078,1997-09-15
1997,10,0.237,0.237,1997-10-15
1998,5,NA,NA,1998-05-15
1998,6,0,0,1998-06-15
1998,7,70.185,70.185,1998-07-15
1998,8,NA,NA,1998-08-15
1998,9,9.0345,9.0345,1998-09-15
1998,10,0,0,1998-10-15
1999,5,NA,NA,1999-05-15
1999,6,NA,NA,1999-06-15
1999,7,16.468,16.468,1999-07-15
1999,8,NA,NA,1999-08-15
1999,9,8.343,8.343,1999-09-15
1999,10,0.7115,0.7115,1999-10-15
2000,5,0,0,2000-05-15
2000,6,54.8025,54.8025,2000-06-15
2000,7,22.221,22.221,2000-07-15
2000,8,8.62,8.62,2000-08-15
2000,9,8.264,8.264,2000-09-15
2000,10,0,0,2000-10-15
2001,5,29.733,29.733,2001-05-15
2001,6,25.107,25.107,2001-06-15
2001,7,12.732,12.732,2001-07-15
2001,8,11.387,11.387,2001-08-15
2001,9,6.346,6.346,2001-09-15
2001,10,NA,NA,2001-10-15
2002,5,0.198,0.198,2002-05-15
2002,6,27.638,27.638,2002-06-15
2002,7,29.457,29.457,2002-07-15
2002,8,15.302,15.302,2002-08-15
2002,9,9.213,9.213,2002-09-15
2002,10,0,0,2002-10-15
2003,5,39.738,39.738,2003-05-15
2003,6,25.0285,25.0285,2003-06-15
2003,7,22.498,22.498,2003-07-15
2003,8,11.585,11.585,2003-08-15
2003,9,NA,NA,2003-09-15
2003,10,NA,NA,2003-10-15
2004,5,NA,NA,2004-05-15
2004,6,52.391,52.391,2004-06-15
2004,7,28.666,28.666,2004-07-15
2004,8,23.012,23.012,2004-08-15
2004,9,NA,NA,2004-09-15
2004,10,0,0,2004-10-15
2005,5,NA,NA,2005-05-15
2005,6,NA,NA,2005-06-15
2005,7,60.28,60.28,2005-07-15
2005,8,21.45,21.45,2005-08-15
2005,9,12.455,12.455,2005-09-15
2005,10,0,0,2005-10-15
2006,5,5.832,5.832,2006-05-15
2006,6,58.955,58.955,2006-06-15
2006,7,20.679,20.679,2006-07-15
2006,8,14.195,14.195,2006-08-15
2006,9,9.055,9.055,2006-09-15
2006,10,1.423,1.423,2006-10-15
2007,5,5.496,5.496,2007-05-15
2007,6,NA,NA,2007-06-15
2007,7,3.005,3.005,2007-07-15
2007,8,2.372,2.372,2007-08-15
2007,9,2.629,2.629,2007-09-15
