"Year","Month","Mesic_median","Mesic_mean"
1984,5,NA,NA
1984,6,31.0765,31.0765
1984,7,0,0
1984,8,NA,NA
1984,9,NA,NA
1984,10,NA,NA
1985,5,59.722,56.3656666666667
1985,6,1.6205,1.6205
1985,7,0,0.308666666666667
1985,8,1.968,1.968
1985,9,NA,NA
1985,10,0,0
1986,5,60.995,60.995
1986,6,7.639,7.639
1986,7,NA,NA
1986,8,0,0
1986,9,NA,NA
1986,10,0,0
1987,5,2.894,2.894
1987,6,0,0
1987,7,0.2315,0.2315
1987,8,0,0
1987,9,1.331,1.331
1987,10,0,0
1988,5,39.236,39.236
1988,6,9.028,9.028
1988,7,3.819,4.97666666666667
1988,8,0,0
1988,9,0,0
1988,10,0,0
1989,5,NA,NA
1989,6,85.764,85.764
1989,7,5.7875,5.7875
1989,8,5.9605,5.9605
1989,9,3.646,3.646
1989,10,2.778,2.778
1990,5,0,0
1990,6,6.366,6.366
1990,7,NA,NA
1990,8,22.801,22.5693333333333
1990,9,35.764,35.764
1990,10,NA,NA
1991,5,90.046,90.046
1991,6,NA,NA
1991,7,NA,NA
1991,8,12.905,12.3555
1991,9,4.5715,4.5715
1991,10,0,0
1992,5,1.389,1.389
1992,6,4.398,4.398
1992,7,NA,NA
1992,8,2.778,2.778
1992,9,0,0
1992,10,0,0
1993,5,82.523,82.523
1993,6,65.509,65.509
1993,7,38.831,38.831
1993,8,8.507,8.507
1993,9,0.984,0.984
1993,10,0,0
1994,5,21.643,21.643
1994,6,NA,NA
1994,7,13.0205,13.0205
1994,8,9.1435,9.1435
1994,9,1.389,1.389
1994,10,NA,NA
1995,5,NA,NA
1995,6,NA,NA
1995,7,52.3145,52.3145
1995,8,15.683,15.683
1995,9,2.662,2.662
1995,10,0,0
1996,5,28.935,28.935
1996,6,49.595,49.595
1996,7,23.785,25.521
1996,8,10.88,13.0403333333333
1996,9,NA,NA
1996,10,0,0
1997,5,12.731,12.731
1997,6,56.134,56.134
1997,7,46.701,46.701
1997,8,19.7335,19.7335
1997,9,7.407,7.407
1997,10,2.8355,2.8355
1998,5,NA,NA
1998,6,72.222,72.222
1998,7,46.296,45.6403333333333
1998,8,15.046,13.6186666666667
1998,9,1.6205,2.19925
1998,10,0,0
1999,5,0.81,0.81
1999,6,0,0
1999,7,4.9765,4.9765
1999,8,0,0
1999,9,0,0
1999,10,0,0
2000,5,4.398,4.398
2000,6,3.53,3.53
2000,7,9.606,9.606
2000,8,5.1505,4.54275
2000,9,0,0
2000,10,0,0
2001,5,49.19,49.19
2001,6,0.463,0.463
2001,7,NA,NA
2001,8,0,0
2001,9,0,0
2001,10,0,0
2002,5,0,0
2002,6,NA,NA
2002,7,3.4725,3.4725
2002,8,1.157,0.848666666666667
2002,9,0,0
2002,10,0,0
2003,5,70.602,70.602
2003,6,23.843,27.7776666666667
2003,7,4.398,5.28533333333333
2003,8,1.389,1.659
2003,9,0,0
2003,10,0,0
2004,5,71.759,71.759
2004,6,73.148,68.48
2004,7,11.4585,11.4585
2004,8,5.324,4.398
2004,9,0,0.501666666666667
2004,10,0,0
2005,5,NA,NA
2005,6,14.815,14.815
2005,7,10.0115,10.0115
2005,8,3.704,4.051
2005,9,0.926,1.62033333333333
2005,10,0,0
2006,5,3.472,3.472
2006,6,60.069,60.069
2006,7,28.646,30.1795
2006,8,7.986,7.099
2006,9,3.472,2.62333333333333
2006,10,0,0
2007,5,38.31,38.31
2007,6,53.7035,53.7035
2007,7,43.634,34.6063333333333
2007,8,12.616,13.0016666666667
2007,9,5.208,5.208
2007,10,NA,NA
2008,5,NA,NA
2008,6,28.356,28.356
2008,7,26.042,28.3953333333333
2008,8,25,22.878
2008,9,8.1595,8.1595
2008,10,2.778,2.778
2009,5,20.544,20.544
2009,6,42.477,42.477
2009,7,11.2845,13.5415
2009,8,7.06,8.796
2009,9,3.472,3.472
2009,10,3.241,3.241
2010,5,NA,NA
2010,6,76.1575,76.1575
2010,7,22.3375,27.28575
2010,8,14.294,14.294
2010,9,7.523,7.523
2010,10,0,0
2011,5,0,0
2011,6,65.046,65.046
2011,7,44.5605,44.5605
2011,8,29.977,25.1546666666667
2011,9,19.7915,19.7915
2011,10,0,0
2012,5,NA,NA
2012,6,NA,NA
2012,7,NA,NA
2012,8,NA,NA
2012,9,NA,NA
2012,10,NA,NA
2013,5,NA,NA
2013,6,50.752,50.752
2013,7,51.794,52.22775
2013,8,49.0735,49.0735
2013,9,41.204,41.204
2013,10,1.1575,1.1575
2014,5,71.2965,71.2965
2014,6,68.634,68.634
2014,7,21.9325,21.23825
2014,8,42.014,42.014
2014,9,39.525,39.525
2014,10,0,0
2015,5,6.0765,6.0765
2015,6,23.727,23.727
2015,7,30.787,30.787
2015,8,23.9005,23.9005
2015,9,10.417,11.15
2015,10,0,0
2016,5,63.484,63.484
2016,6,60.417,60.417
2016,7,53.2405,51.0415
2016,8,28.8775,28.8775
2016,9,1.62,1.62
2016,10,0.347,0.347
2017,5,52.546,51.929
2017,6,53.704,53.781
2017,7,31.713,35.9953333333333
2017,8,31.597,30.864
2017,9,21.875,21.875
2017,10,5.903,5.903
2018,5,0,0
2018,6,39.0625,39.0625
2018,7,50.405,50.11575
2018,8,38.426,38.426
2018,9,19.155,19.155
2018,10,0,0
2019,5,28.3565,28.3565
2019,6,84.201,84.201
2019,7,75.926,78.2023333333333
2019,8,49.421,55.6326666666667
2019,9,NA,NA
2019,10,0,0
2020,5,0,0
2020,6,21.296,21.296
2020,7,23.4955,23.09025
2020,8,22.801,22.801
2020,9,15.799,15.799
2020,10,3.067,3.067
2021,5,0,2.70066666666667
2021,6,70.1965,70.1965
2021,7,53.588,57.8316666666667
2021,8,47.743,47.0485
2021,9,6.0185,6.713
2021,10,0.984,0.984
2022,5,19.097,19.097
2022,6,60.417,60.417
