"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,NA,NA,1984-05-15
1984,6,84.227,84.227,1984-06-15
1984,7,NA,NA,1984-07-15
1984,8,NA,NA,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,NA,NA,1985-05-15
1985,6,89.08,89.08,1985-06-15
1985,7,89.121,89.121,1985-07-15
1985,8,NA,NA,1985-08-15
1985,9,0.354,0.354,1985-09-15
1985,10,0,0,1985-10-15
1986,5,24.458,24.458,1986-05-15
1986,6,95.474,95.474,1986-06-15
1986,7,95.317,95.317,1986-07-15
1986,8,68.725,68.725,1986-08-15
1986,9,48.043,48.043,1986-09-15
1986,10,0.191,0.191,1986-10-15
1987,5,NA,NA,1987-05-15
1987,6,94.247,94.247,1987-06-15
1987,7,91.616,91.616,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,8.8955,8.8955,1987-09-15
1987,10,0,0,1987-10-15
1988,5,NA,NA,1988-05-15
1988,6,NA,NA,1988-06-15
1988,7,9.011,9.011,1988-07-15
1988,8,3.108,3.108,1988-08-15
1988,9,1.411,1.411,1988-09-15
1988,10,0,0,1988-10-15
1989,5,0,0,1989-05-15
1989,6,84.827,84.827,1989-06-15
1989,7,40.708,40.708,1989-07-15
1989,8,NA,NA,1989-08-15
1989,9,NA,NA,1989-09-15
1989,10,0,0,1989-10-15
1990,5,NA,NA,1990-05-15
1990,6,94.847,94.847,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,72.8625,72.8625,1990-08-15
1990,9,9.516,9.516,1990-09-15
1990,10,NA,NA,1990-10-15
1991,5,17.914,17.914,1991-05-15
1991,6,NA,NA,1991-06-15
1991,7,95.583,95.583,1991-07-15
1991,8,NA,NA,1991-08-15
1991,9,21.799,21.799,1991-09-15
1991,10,0,0,1991-10-15
1992,5,40.396,40.396,1992-05-15
1992,6,NA,NA,1992-06-15
1992,7,34.771,34.771,1992-07-15
1992,8,24.7235,24.7235,1992-08-15
1992,9,0,0,1992-09-15
1992,10,0,0,1992-10-15
1993,5,0,0,1993-05-15
1993,6,NA,NA,1993-06-15
1993,7,96.646,96.646,1993-07-15
1993,8,66.083,66.083,1993-08-15
1993,9,65.0645,65.0645,1993-09-15
1993,10,NA,NA,1993-10-15
1994,5,NA,NA,1994-05-15
1994,6,NA,NA,1994-06-15
1994,7,25.536,25.536,1994-07-15
1994,8,30.647,30.647,1994-08-15
1994,9,1.8405,1.8405,1994-09-15
1994,10,NA,NA,1994-10-15
1995,5,NA,NA,1995-05-15
1995,6,95.896,95.896,1995-06-15
1995,7,98.364,98.364,1995-07-15
1995,8,56.0325,56.0325,1995-08-15
1995,9,47.279,47.279,1995-09-15
1995,10,0,0,1995-10-15
1996,5,NA,NA,1996-05-15
1996,6,90.545,90.545,1996-06-15
1996,7,91.902,91.902,1996-07-15
1996,8,27.7645,27.7645,1996-08-15
1996,9,0,0,1996-09-15
1996,10,NA,NA,1996-10-15
1997,5,0,0,1997-05-15
1997,6,95.133,95.133,1997-06-15
1997,7,65.297,65.297,1997-07-15
1997,8,91.833,91.833,1997-08-15
1997,9,76.933,76.933,1997-09-15
1997,10,0,0,1997-10-15
1998,5,NA,NA,1998-05-15
1998,6,NA,NA,1998-06-15
1998,7,91.0295,91.0295,1998-07-15
1998,8,5.767,5.767,1998-08-15
1998,9,NA,NA,1998-09-15
1998,10,0.382,0.382,1998-10-15
1999,5,NA,NA,1999-05-15
1999,6,NA,NA,1999-06-15
1999,7,53.913,53.913,1999-07-15
1999,8,90.866,90.866,1999-08-15
1999,9,37.1235,37.1235,1999-09-15
1999,10,0,0,1999-10-15
2000,5,NA,NA,2000-05-15
2000,6,85.8085,85.8085,2000-06-15
2000,7,36.9665,36.9665,2000-07-15
2000,8,51.029,51.029,2000-08-15
2000,9,0,0,2000-09-15
2000,10,NA,NA,2000-10-15
2001,5,33.4975,33.4975,2001-05-15
2001,6,94.724,94.724,2001-06-15
2001,7,NA,NA,2001-07-15
2001,8,NA,NA,2001-08-15
2001,9,NA,NA,2001-09-15
