"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,0,0,1984-05-15
1984,6,4.3085,4.3085,1984-06-15
1984,7,0,0,1984-07-15
1984,8,5.272,5.272,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,0,0,1985-05-15
1985,6,3.9965,3.9965,1985-06-15
1985,7,5.6125,5.6125,1985-07-15
1985,8,1.9555,1.9555,1985-08-15
1985,9,0,0,1985-09-15
1985,10,NA,NA,1985-10-15
1986,5,0,0,1986-05-15
1986,6,3.685,3.685,1986-06-15
1986,7,6.463,5.80133333333333,1986-07-15
1986,8,7.993,7.993,1986-08-15
1986,9,6.519,6.519,1986-09-15
1986,10,NA,NA,1986-10-15
1987,5,0,0,1987-05-15
1987,6,NA,NA,1987-06-15
1987,7,2.778,2.778,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,0,0,1987-09-15
1987,10,0,0,1987-10-15
1988,5,0,0,1988-05-15
1988,6,0.51,0.51,1988-06-15
1988,7,1.587,1.587,1988-07-15
1988,8,1.077,2.19166666666667,1988-08-15
1988,9,0.34,1.625,1988-09-15
1988,10,0,0,1988-10-15
1989,5,0,0,1989-05-15
1989,6,0,0,1989-06-15
1989,7,7.143,7.36966666666667,1989-07-15
1989,8,4.705,4.705,1989-08-15
1989,9,0,0,1989-09-15
1989,10,0,0,1989-10-15
1990,5,NA,NA,1990-05-15
1990,6,NA,NA,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,16.2135,16.2135,1990-08-15
1990,9,0.7655,0.7655,1990-09-15
1990,10,NA,NA,1990-10-15
1991,5,NA,NA,1991-05-15
1991,6,0,0.321333333333333,1991-06-15
1991,7,8.22,7.04833333333333,1991-07-15
1991,8,7.653,7.653,1991-08-15
1991,9,8.1915,8.1915,1991-09-15
1991,10,0.34,0.34,1991-10-15
1992,5,1.644,1.644,1992-05-15
1992,6,8.418,8.418,1992-06-15
1992,7,4.932,5.74433333333333,1992-07-15
1992,8,6.519,6.519,1992-08-15
