,Date,speih
0,1984-01-01,1.4998
1,1984-02-01,0.0367
2,1984-03-01,1.1452
3,1984-04-01,1.9187
4,1984-05-01,0.4395
5,1984-06-01,0.6928
6,1984-07-01,1.8935
7,1984-08-01,2.743
8,1984-09-01,2.1875
9,1984-10-01,2.4196
10,1984-11-01,2.3594
11,1984-12-01,2.1011
12,1985-01-01,1.9912
13,1985-02-01,1.1157
14,1985-03-01,1.6323
15,1985-04-01,0.1892
16,1985-05-01,0.2573
17,1985-06-01,0.179
18,1985-07-01,1.0421
19,1985-08-01,0.0063
20,1985-09-01,0.3295
21,1985-10-01,0.5041
22,1985-11-01,0.796
23,1985-12-01,0.8956
24,1986-01-01,-0.7407
25,1986-02-01,1.0993
26,1986-03-01,-0.6163
27,1986-04-01,-1.0164
28,1986-05-01,-1.1759
29,1986-06-01,-0.883
30,1986-07-01,0.54
31,1986-08-01,0.0687
32,1986-09-01,0.6858
33,1986-10-01,1.1448
34,1986-11-01,1.447
35,1986-12-01,1.336
36,1987-01-01,0.7685
37,1987-02-01,1.3246
38,1987-03-01,1.1548
39,1987-04-01,-0.0164
40,1987-05-01,-0.1913
41,1987-06-01,0.0366
42,1987-07-01,-0.4983
43,1987-08-01,-0.5041
44,1987-09-01,-0.7508
45,1987-10-01,-0.7808
46,1987-11-01,-0.808
47,1987-12-01,-0.8642
48,1988-01-01,-0.3217
49,1988-02-01,-0.8415
50,1988-03-01,-0.0329
51,1988-04-01,-0.1039
52,1988-05-01,-0.3912
53,1988-06-01,0.1203
54,1988-07-01,-0.2668
55,1988-08-01,0.3487
56,1988-09-01,0.2888
57,1988-10-01,0.2536
58,1988-11-01,0.6877
59,1988-12-01,0.3622
60,1989-01-01,0.7576
61,1989-02-01,0.3461
62,1989-03-01,-0.1161
63,1989-04-01,0.285
64,1989-05-01,-0.1252
65,1989-06-01,0.3681
66,1989-07-01,0.2654
67,1989-08-01,-0.3011
68,1989-09-01,-0.1032
69,1989-10-01,-0.1073
70,1989-11-01,-0.0887
71,1989-12-01,-0.6401
72,1990-01-01,-1.2824
73,1990-02-01,-1.1988
74,1990-03-01,-1.0064
75,1990-04-01,-0.3141
76,1990-05-01,-0.1626
77,1990-06-01,-0.7932
78,1990-07-01,-0.3484
79,1990-08-01,0.1031
80,1990-09-01,0.2873
81,1990-10-01,0.3143
82,1990-11-01,0.496
83,1990-12-01,0.9449
84,1991-01-01,0.7068
85,1991-02-01,-0.2716
86,1991-03-01,-0.6546
87,1991-04-01,-0.9157
88,1991-05-01,-0.8628
89,1991-06-01,-0.2354
90,1991-07-01,0.1476
91,1991-08-01,1.0233
92,1991-09-01,0.7692
93,1991-10-01,0.7301
94,1991-11-01,1.2165
95,1991-12-01,0.7577
96,1992-01-01,0.3929
97,1992-02-01,-1.3732
98,1992-03-01,-0.8659
99,1992-04-01,-1.4132
100,1992-05-01,-1.4756
101,1992-06-01,-0.8503
102,1992-07-01,-0.5307
103,1992-08-01,-0.1019
104,1992-09-01,-0.321
105,1992-10-01,0.0116
106,1992-11-01,0.491
107,1992-12-01,0.1469
108,1993-01-01,-0.1077
109,1993-02-01,0.0448
110,1993-03-01,0.5848
111,1993-04-01,0.5078
112,1993-05-01,-0.1611
113,1993-06-01,0.2337
114,1993-07-01,-0.2523
115,1993-08-01,-0.6671
116,1993-09-01,-0.5274
117,1993-10-01,-0.1093
118,1993-11-01,0.2832
119,1993-12-01,-0.1773
120,1994-01-01,0.3065
121,1994-02-01,0.5063
122,1994-03-01,-0.1954
123,1994-04-01,-0.1603
124,1994-05-01,-0.1818
125,1994-06-01,-0.3577
126,1994-07-01,-1.2512
127,1994-08-01,-0.7441
128,1994-09-01,-0.4252
129,1994-10-01,-0.6145
130,1994-11-01,-0.71
131,1994-12-01,-0.57
132,1995-01-01,0.3774
133,1995-02-01,0.0441
134,1995-03-01,0.6047
135,1995-04-01,1.298
136,1995-05-01,2.1191
137,1995-06-01,2.8131
138,1995-07-01,2.5411
139,1995-08-01,2.3164
140,1995-09-01,1.8851
141,1995-10-01,1.5377
142,1995-11-01,0.7419
143,1995-12-01,0.0883
144,1996-01-01,0.2127
145,1996-02-01,0.9923
146,1996-03-01,0.8018
147,1996-04-01,0.9654
148,1996-05-01,0.4616
149,1996-06-01,0.6263
150,1996-07-01,-0.766
151,1996-08-01,-1.4684
152,1996-09-01,-1.1259
153,1996-10-01,-1.2949
154,1996-11-01,-1.3108
155,1996-12-01,-0.7991
156,1997-01-01,0.2383
157,1997-02-01,1.4151
158,1997-03-01,0.2879
159,1997-04-01,1.2446
160,1997-05-01,0.9675
161,1997-06-01,0.5556
162,1997-07-01,-0.0891
163,1997-08-01,0.4235
164,1997-09-01,0.7321
165,1997-10-01,0.4755
166,1997-11-01,0.6488
167,1997-12-01,0.4808
168,1998-01-01,0.9192
169,1998-02-01,-0.1559
170,1998-03-01,0.0212
171,1998-04-01,-0.1196
172,1998-05-01,-1.1279
173,1998-06-01,-0.9343
174,1998-07-01,0.3811
175,1998-08-01,0.2799
176,1998-09-01,0.0774
177,1998-10-01,0.5446
178,1998-11-01,1.1417
179,1998-12-01,1.0726
180,1999-01-01,-0.1676
181,1999-02-01,-0.3836
182,1999-03-01,-0.9167
183,1999-04-01,0.3738
184,1999-05-01,0.8164
185,1999-06-01,0.9919
186,1999-07-01,1.3531
187,1999-08-01,1.5346
188,1999-09-01,1.6691
189,1999-10-01,0.8343
190,1999-11-01,0.3799
191,1999-12-01,0.4204
192,2000-01-01,-0.0498
193,2000-02-01,-0.9288
194,2000-03-01,-0.4246
195,2000-04-01,-0.2194
196,2000-05-01,-0.384
197,2000-06-01,-0.4769
198,2000-07-01,-0.9859
199,2000-08-01,-0.7074
200,2000-09-01,-1.0274
201,2000-10-01,-1.1067
202,2000-11-01,-0.5943
203,2000-12-01,-0.4746
204,2001-01-01,-0.1601
205,2001-02-01,0.107
206,2001-03-01,1.2934
207,2001-04-01,0.8391
208,2001-05-01,0.6146
209,2001-06-01,0.3346
210,2001-07-01,0.5376
211,2001-08-01,0.4779
212,2001-09-01,-0.1661
213,2001-10-01,-0.3156
214,2001-11-01,-0.7137
215,2001-12-01,-0.678
216,2002-01-01,-1.714
217,2002-02-01,-2.2713
218,2002-03-01,-1.8511
219,2002-04-01,-2.0251
220,2002-05-01,-1.726
221,2002-06-01,-1.964
222,2002-07-01,-2.4268
223,2002-08-01,-2.4403
224,2002-09-01,-2.4948
225,2002-10-01,-2.254
226,2002-11-01,-2.1361
227,2002-12-01,-1.8109
228,2003-01-01,-1.2794
229,2003-02-01,0.3974
230,2003-03-01,0.6955
231,2003-04-01,-0.2055
232,2003-05-01,-0.7222
233,2003-06-01,0.0849
234,2003-07-01,-0.6538
235,2003-08-01,-0.1898
236,2003-09-01,-0.3483
237,2003-10-01,-0.5867
238,2003-11-01,-0.2296
239,2003-12-01,-1.1445
240,2004-01-01,0.1837
241,2004-02-01,-0.8197
242,2004-03-01,-1.958
243,2004-04-01,-0.3745
244,2004-05-01,-0.8999
245,2004-06-01,-0.3592
246,2004-07-01,0.3604
247,2004-08-01,-0.0456
248,2004-09-01,0.4404
249,2004-10-01,-0.0302
250,2004-11-01,0.8245
251,2004-12-01,0.5357
252,2005-01-01,-0.1835
253,2005-02-01,-0.2625
254,2005-03-01,-0.3672
255,2005-04-01,-0.501
256,2005-05-01,-1.0434
257,2005-06-01,-0.748
258,2005-07-01,-1.7265
259,2005-08-01,-0.999
260,2005-09-01,-1.0868
261,2005-10-01,-0.6142
262,2005-11-01,-0.2655
263,2005-12-01,-0.3051
264,2006-01-01,0.7526
265,2006-02-01,-0.3998
266,2006-03-01,-0.1772
267,2006-04-01,-1.7825
268,2006-05-01,-1.5982
269,2006-06-01,-1.8146
270,2006-07-01,-0.0768
271,2006-08-01,0.9879
272,2006-09-01,1.3812
273,2006-10-01,1.9036
274,2006-11-01,2.0121
275,2006-12-01,2.1746
276,2007-01-01,2.1146
277,2007-02-01,1.4915
278,2007-03-01,0.711
279,2007-04-01,0.2219
280,2007-05-01,0.5955
281,2007-06-01,-0.0028
282,2007-07-01,0.3425
283,2007-08-01,0.7745
284,2007-09-01,0.665
285,2007-10-01,0.5256
286,2007-11-01,0.106
287,2007-12-01,0.9781
288,2008-01-01,0.91
289,2008-02-01,0.9573
290,2008-03-01,1.5542
291,2008-04-01,1.7976
292,2008-05-01,1.5834
293,2008-06-01,0.4564
294,2008-07-01,-0.1134
295,2008-08-01,0.4297
296,2008-09-01,0.115
297,2008-10-01,0.194
298,2008-11-01,0.0059
299,2008-12-01,0.6659
300,2009-01-01,0.8158
301,2009-02-01,-0.9861
302,2009-03-01,-1.1646
303,2009-04-01,-1.0859
304,2009-05-01,-0.1524
305,2009-06-01,0.67
306,2009-07-01,0.5263
307,2009-08-01,-0.1718
308,2009-09-01,0.485
309,2009-10-01,0.857
310,2009-11-01,0.5262
311,2009-12-01,-0.2017
312,2010-01-01,-0.208
313,2010-02-01,1.2627
314,2010-03-01,0.9544
315,2010-04-01,0.0597
316,2010-05-01,0.2095
317,2010-06-01,0.1531
318,2010-07-01,0.726
319,2010-08-01,0.5642
320,2010-09-01,-0.1609
321,2010-10-01,0.0505
322,2010-11-01,0.1019
323,2010-12-01,-0.1724
324,2011-01-01,-1.3994
325,2011-02-01,-1.4285
326,2011-03-01,-0.4671
327,2011-04-01,-0.6315
328,2011-05-01,0.095
329,2011-06-01,-0.424
330,2011-07-01,-0.5317
331,2011-08-01,-0.6793
332,2011-09-01,-0.3648
333,2011-10-01,-0.1077
334,2011-11-01,-0.298
335,2011-12-01,0.2576
336,2012-01-01,0.295
337,2012-02-01,0.7536
338,2012-03-01,-0.5642
339,2012-04-01,-1.7159
340,2012-05-01,-1.514
341,2012-06-01,-1.9564
342,2012-07-01,-1.3007
343,2012-08-01,-1.3823
344,2012-09-01,-0.9328
345,2012-10-01,-0.7108
346,2012-11-01,-0.8266
347,2012-12-01,-0.0656
348,2013-01-01,-1.1851
349,2013-02-01,-0.8375
350,2013-03-01,-0.9812
351,2013-04-01,0.0764
352,2013-05-01,0.951
