"Year","Month","Mesic_median","Date","Event"
1984,5,0,1984-05-15,"pre"
1984,6,0.167,1984-06-15,"pre"
1984,7,81.534,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,NA,1985-05-15,"pre"
1985,6,NA,1985-06-15,"pre"
1985,7,NA,1985-07-15,"pre"
1985,8,NA,1985-08-15,"pre"
1985,9,NA,1985-09-15,"pre"
1985,10,0,1985-10-15,"pre"
1986,5,0,1986-05-15,"pre"
1986,6,43.314,1986-06-15,"pre"
1986,7,NA,1986-07-15,"pre"
1986,8,61.1105,1986-08-15,"pre"
1986,9,70.391,1986-09-15,"pre"
1986,10,0,1986-10-15,"pre"
1987,5,NA,1987-05-15,"pre"
1987,6,96.45,1987-06-15,"pre"
1987,7,97.58,1987-07-15,"pre"
1987,8,NA,1987-08-15,"pre"
1987,9,36.4135,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,0,1988-05-15,"pre"
1988,6,0.0635,1988-06-15,"pre"
1988,7,0,1988-07-15,"pre"
1988,8,81.026,1988-08-15,"pre"
1988,9,2.738,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,0.891,1989-05-15,"pre"
1989,6,NA,1989-06-15,"pre"
1989,7,91.213,1989-07-15,"pre"
1989,8,74.116,1989-08-15,"pre"
1989,9,36.023,1989-09-15,"pre"
1989,10,0.573,1989-10-15,"pre"
1990,5,NA,1990-05-15,"pre"
1990,6,NA,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,NA,1990-08-15,"pre"
1990,9,56.447,1990-09-15,"pre"
1990,10,1.401,1990-10-15,"pre"
1991,5,NA,1991-05-15,"pre"
1991,6,11.063,1991-06-15,"pre"
1991,7,11.215,1991-07-15,"pre"
1991,8,40.3455,1991-08-15,"pre"
1991,9,78.088,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,0,1992-05-15,"pre"
1992,6,66.508,1992-06-15,"pre"
1992,7,92.598,1992-07-15,"pre"
1992,8,6.8845,1992-08-15,"pre"
1992,9,14.557,1992-09-15,"pre"
1992,10,0,1992-10-15,"pre"
1993,5,NA,1993-05-15,"pre"
1993,6,68.911,1993-06-15,"pre"
1993,7,86.883,1993-07-15,"pre"
1993,8,83.5485,1993-08-15,"pre"
1993,9,47.127,1993-09-15,"pre"
1993,10,NA,1993-10-15,"pre"
1994,5,0,1994-05-15,"pre"
1994,6,38.2125,1994-06-15,"pre"
1994,7,0,1994-07-15,"pre"
1994,8,0,1994-08-15,"pre"
1994,9,0,1994-09-15,"pre"
1994,10,0,1994-10-15,"pre"
1995,5,NA,1995-05-15,"pre"
1995,6,10.347,1995-06-15,"pre"
1995,7,96.482,1995-07-15,"pre"
1995,8,97.3495,1995-08-15,"pre"
1995,9,94.763,1995-09-15,"pre"
1995,10,24.801,1995-10-15,"pre"
1996,5,3.271,1996-05-15,"pre"
1996,6,10.729,1996-06-15,"pre"
1996,7,NA,1996-07-15,"pre"
1996,8,68.999,1996-08-15,"pre"
1996,9,25.549,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
