,Date,speih
0,1984-01-01,1.8217
1,1984-02-01,1.351
2,1984-03-01,1.1447
3,1984-04-01,1.0632
4,1984-05-01,0.4039
5,1984-06-01,0.0628
6,1984-07-01,0.8485
7,1984-08-01,0.9408
8,1984-09-01,1.2324
9,1984-10-01,1.3693
10,1984-11-01,1.747
11,1984-12-01,1.5009
12,1985-01-01,0.6014
13,1985-02-01,0.5758
14,1985-03-01,0.4592
15,1985-04-01,-0.1737
16,1985-05-01,-0.6996
17,1985-06-01,-0.9867
18,1985-07-01,-0.2611
19,1985-08-01,-0.6014
20,1985-09-01,-0.5369
21,1985-10-01,0.0067
22,1985-11-01,1.2861
23,1985-12-01,1.4943
24,1986-01-01,1.0285
25,1986-02-01,2.0101
26,1986-03-01,1.6864
27,1986-04-01,1.866
28,1986-05-01,1.6336
29,1986-06-01,1.3252
30,1986-07-01,1.5651
31,1986-08-01,0.4777
32,1986-09-01,1.1893
33,1986-10-01,0.4146
34,1986-11-01,0.4146
35,1986-12-01,0.2741
36,1987-01-01,-0.5064
37,1987-02-01,-0.6498
38,1987-03-01,-1.8301
39,1987-04-01,-2.1298
40,1987-05-01,-1.5826
41,1987-06-01,-1.1604
42,1987-07-01,-0.4186
43,1987-08-01,-0.1001
44,1987-09-01,-0.3663
45,1987-10-01,-0.2857
46,1987-11-01,-1.1442
47,1987-12-01,-0.7208
48,1988-01-01,-1.5605
49,1988-02-01,-2.2318
50,1988-03-01,-1.3913
51,1988-04-01,-0.7726
52,1988-05-01,-0.9816
53,1988-06-01,-1.3662
54,1988-07-01,-1.8887
55,1988-08-01,-1.8257
56,1988-09-01,-1.8939
57,1988-10-01,-2.3844
58,1988-11-01,-1.8028
59,1988-12-01,-1.493
60,1989-01-01,-0.7162
61,1989-02-01,-0.024
62,1989-03-01,0.734
63,1989-04-01,0.9706
64,1989-05-01,-0.2797
65,1989-06-01,-0.2116
66,1989-07-01,-0.4532
67,1989-08-01,-0.2752
68,1989-09-01,-0.9973
69,1989-10-01,-0.7796
70,1989-11-01,-0.6896
71,1989-12-01,-1.384
72,1990-01-01,-0.7675
73,1990-02-01,-1.2261
74,1990-03-01,-1.0016
75,1990-04-01,-0.5882
76,1990-05-01,-0.5045
77,1990-06-01,-0.1853
78,1990-07-01,-0.3074
79,1990-08-01,-0.2362
80,1990-09-01,-0.283
81,1990-10-01,-0.5103
82,1990-11-01,-0.5934
83,1990-12-01,-0.4338
84,1991-01-01,-0.7706
85,1991-02-01,-1.2096
86,1991-03-01,-0.3487
87,1991-04-01,-0.0304
88,1991-05-01,0.4994
89,1991-06-01,0.5786
90,1991-07-01,0.8867
91,1991-08-01,1.31
92,1991-09-01,1.1
93,1991-10-01,0.7994
94,1991-11-01,0.7046
95,1991-12-01,0.0154
96,1992-01-01,-0.9292
97,1992-02-01,-1.6797
98,1992-03-01,-1.8311
99,1992-04-01,-1.7036
100,1992-05-01,-2.3384
101,1992-06-01,-1.7906
102,1992-07-01,-1.1981
103,1992-08-01,-1.0776
104,1992-09-01,-0.9149
105,1992-10-01,-0.8128
106,1992-11-01,-0.1223
107,1992-12-01,0.2336
108,1993-01-01,-0.2973
109,1993-02-01,0.3733
110,1993-03-01,0.5388
111,1993-04-01,0.9047
112,1993-05-01,1.287
113,1993-06-01,1.5156
114,1993-07-01,1.9865
115,1993-08-01,2.036
116,1993-09-01,2.0554
117,1993-10-01,1.9561
118,1993-11-01,1.7161
119,1993-12-01,0.9874
120,1994-01-01,-0.8294
