"Year","Month","Mesic_median","Date","Event"
1984,5,NA,1984-05-15,"pre"
1984,6,78.651,1984-06-15,"pre"
1984,7,NA,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,NA,1985-05-15,"pre"
1985,6,83.15,1985-06-15,"pre"
1985,7,85.154,1985-07-15,"pre"
1985,8,NA,1985-08-15,"pre"
1985,9,0.354,1985-09-15,"pre"
1985,10,0,1985-10-15,"pre"
1986,5,12.12,1986-05-15,"pre"
1986,6,93.224,1986-06-15,"pre"
1986,7,93.5785,1986-07-15,"pre"
1986,8,61.459,1986-08-15,"pre"
1986,9,36.073,1986-09-15,"pre"
1986,10,0.191,1986-10-15,"pre"
1987,5,NA,1987-05-15,"pre"
1987,6,45.951,1987-06-15,"pre"
1987,7,43.3265,1987-07-15,"pre"
1987,8,NA,1987-08-15,"pre"
1987,9,6.101,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,0.3815,1988-05-15,"pre"
1988,6,1.363,1988-06-15,"pre"
1988,7,5.426,1988-07-15,"pre"
1988,8,1.527,1988-08-15,"pre"
1988,9,0.566,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,11.534,1989-05-15,"pre"
1989,6,79.81,1989-06-15,"pre"
1989,7,33.605,1989-07-15,"pre"
1989,8,54.3895,1989-08-15,"pre"
1989,9,0,1989-09-15,"pre"
1989,10,0,1989-10-15,"pre"
1990,5,0,1990-05-15,"pre"
1990,6,93.292,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,65.405,1990-08-15,"pre"
1990,9,7.2805,1990-09-15,"pre"
1990,10,NA,1990-10-15,"pre"
1991,5,17.914,1991-05-15,"pre"
1991,6,46.8985,1991-06-15,"pre"
1991,7,94.5465,1991-07-15,"pre"
1991,8,95.01,1991-08-15,"pre"
1991,9,18.977,1991-09-15,"pre"
1991,10,0,1991-10-15,"pre"
1992,5,49.3675,1992-05-15,"pre"
1992,6,NA,1992-06-15,"pre"
1992,7,29.604,1992-07-15,"pre"
1992,8,19.843,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,0,1992-10-15,"pre"
1993,5,0,1993-05-15,"pre"
1993,6,27.492,1993-06-15,"pre"
1993,7,95.119,1993-07-15,"pre"
1993,8,32.7825,1993-08-15,"pre"
1993,9,61.759,1993-09-15,"pre"
1993,10,NA,1993-10-15,"pre"
1994,5,NA,1994-05-15,"pre"
1994,6,NA,1994-06-15,"pre"
1994,7,24.772,1994-07-15,"pre"
1994,8,25.671,1994-08-15,"pre"
1994,9,1.4995,1994-09-15,"pre"
1994,10,NA,1994-10-15,"pre"
1995,5,NA,1995-05-15,"pre"
1995,6,94.233,1995-06-15,"pre"
1995,7,97.723,1995-07-15,"pre"
1995,8,55.5485,1995-08-15,"pre"
1995,9,42.848,1995-09-15,"pre"
1995,10,0,1995-10-15,"pre"
1996,5,0,1996-05-15,"pre"
1996,6,89.4545,1996-06-15,"pre"
1996,7,91.602,1996-07-15,"pre"
1996,8,24.015,1996-08-15,"pre"
1996,9,0,1996-09-15,"pre"
1996,10,0,1996-10-15,"pre"
1997,5,0,1997-05-15,"pre"
1997,6,94.206,1997-06-15,"pre"
1997,7,64.8335,1997-07-15,"pre"
1997,8,90.988,1997-08-15,"pre"
1997,9,75.3035,1997-09-15,"pre"
1997,10,0,1997-10-15,"pre"
1998,5,NA,1998-05-15,"pre"
1998,6,NA,1998-06-15,"pre"
1998,7,89.693,1998-07-15,"pre"
1998,8,5.726,1998-08-15,"pre"
1998,9,3.913,1998-09-15,"pre"
1998,10,0.382,1998-10-15,"pre"
1999,5,NA,1999-05-15,"pre"
1999,6,NA,1999-06-15,"pre"
1999,7,53.1975,1999-07-15,"pre"
1999,8,54.062,1999-08-15,"pre"
1999,9,36.4145,1999-09-15,"pre"
1999,10,0,1999-10-15,"pre"
2000,5,NA,2000-05-15,"pre"
2000,6,83.5655,2000-06-15,"pre"
2000,7,35.426,2000-07-15,"pre"
2000,8,24.915,2000-08-15,"pre"
2000,9,0,2000-09-15,"pre"
2000,10,NA,2000-10-15,"pre"
2001,5,33.17,2001-05-15,"pre"
2001,6,46.81,2001-06-15,"pre"
2001,7,93.156,2001-07-15,"pre"
2001,8,10.355,2001-08-15,"pre"
2001,9,0,2001-09-15,"pre"
2001,10,0,2001-10-15,"pre"
2002,5,NA,2002-05-15,"pre"
2002,6,95.828,2002-06-15,"pre"
2002,7,78.452,2002-07-15,"pre"
2002,8,32.9515,2002-08-15,"pre"
2002,9,16.633,2002-09-15,"pre"
2002,10,0,2002-10-15,"pre"
2003,5,6.21,2003-05-15,"pre"
2003,6,91.6015,2003-06-15,"pre"
2003,7,0,2003-07-15,"pre"
2003,8,79.36,2003-08-15,"pre"
2003,9,0.504,2003-09-15,"pre"
2003,10,0,2003-10-15,"pre"
2004,5,11.779,2004-05-15,"pre"
2004,6,67.171,2004-06-15,"pre"
2004,7,97.519,2004-07-15,"pre"
2004,8,47.834,2004-08-15,"pre"
2004,9,NA,2004-09-15,"pre"
