"Year","Month","Mesic_median","Date","Event"
1984,5,NA,1984-05-15,"pre"
1984,6,2.602,1984-06-15,"pre"
1984,7,7.876,1984-07-15,"pre"
1984,8,NA,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,0.879,1985-05-15,"pre"
1985,6,7.085,1985-06-15,"pre"
1985,7,4.325,1985-07-15,"pre"
1985,8,13.01,1985-08-15,"pre"
1985,9,NA,1985-09-15,"pre"
1985,10,8.861,1985-10-15,"pre"
1986,5,1.9865,1986-05-15,"pre"
1986,6,NA,1986-06-15,"pre"
1986,7,16.702,1986-07-15,"pre"
1986,8,10.6715,1986-08-15,"pre"
1986,9,NA,1986-09-15,"pre"
1986,10,6.681,1986-10-15,"pre"
1987,5,24.051,1987-05-15,"pre"
1987,6,16.561,1987-06-15,"pre"
1987,7,NA,1987-07-15,"pre"
1987,8,NA,1987-08-15,"pre"
1987,9,22.3275,1987-09-15,"pre"
1987,10,9.107,1987-10-15,"pre"
1988,5,6.364,1988-05-15,"pre"
1988,6,NA,1988-06-15,"pre"
1988,7,8.9835,1988-07-15,"pre"
1988,8,14.0645,1988-08-15,"pre"
1988,9,22.644,1988-09-15,"pre"
1988,10,17.862,1988-10-15,"pre"
1989,5,5.028,1989-05-15,"pre"
1989,6,17.5105,1989-06-15,"pre"
1989,7,5.696,1989-07-15,"pre"
1989,8,15.119,1989-08-15,"pre"
1989,9,13.5725,1989-09-15,"pre"
1989,10,2.3205,1989-10-15,"pre"
1990,5,7.524,1990-05-15,"pre"
1990,6,NA,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,7.63,1990-08-15,"pre"
1990,9,NA,1990-09-15,"pre"
1990,10,NA,1990-10-15,"pre"
1991,5,NA,1991-05-15,"pre"
1991,6,4.43,1991-06-15,"pre"
1991,7,NA,1991-07-15,"pre"
1991,8,11.269,1991-08-15,"pre"
1991,9,14.75,1991-09-15,"pre"
1991,10,7.4725,1991-10-15,"pre"
1992,5,17.229,1992-05-15,"pre"
1992,6,NA,1992-06-15,"pre"
1992,7,23.5055,1992-07-15,"pre"
