,Date,speih
0,1984-01-01,1.5163
1,1984-02-01,0.9141
2,1984-03-01,0.8857
3,1984-04-01,1.0208
4,1984-05-01,0.7459
5,1984-06-01,0.7276
6,1984-07-01,1.543
7,1984-08-01,1.6262
8,1984-09-01,1.8643
9,1984-10-01,1.8779
10,1984-11-01,2.3618
11,1984-12-01,1.8256
12,1985-01-01,0.8073
13,1985-02-01,0.6286
14,1985-03-01,0.4804
15,1985-04-01,0.0302
16,1985-05-01,-0.7774
17,1985-06-01,-1.0503
18,1985-07-01,-0.7323
19,1985-08-01,-0.8053
20,1985-09-01,0.1829
21,1985-10-01,0.7519
22,1985-11-01,0.8651
23,1985-12-01,0.8683
24,1986-01-01,1.0803
25,1986-02-01,1.766
26,1986-03-01,1.2376
27,1986-04-01,1.1515
28,1986-05-01,1.1905
29,1986-06-01,1.3349
30,1986-07-01,1.4785
31,1986-08-01,0.0647
32,1986-09-01,1.028
33,1986-10-01,0.7843
34,1986-11-01,0.6122
35,1986-12-01,-0.092
36,1987-01-01,-0.5543
37,1987-02-01,-0.6326
38,1987-03-01,-1.6592
39,1987-04-01,-1.8785
40,1987-05-01,-1.579
41,1987-06-01,-1.0705
42,1987-07-01,-0.6216
43,1987-08-01,-0.3035
44,1987-09-01,-0.6495
45,1987-10-01,-0.6072
46,1987-11-01,-1.5608
47,1987-12-01,-1.0037
48,1988-01-01,-1.7947
49,1988-02-01,-1.8078
50,1988-03-01,-0.9889
51,1988-04-01,-0.1758
52,1988-05-01,0.174
53,1988-06-01,-0.3802
54,1988-07-01,-0.5139
55,1988-08-01,-0.3383
56,1988-09-01,-0.5964
57,1988-10-01,-1.6231
58,1988-11-01,-0.6477
59,1988-12-01,-0.8792
60,1989-01-01,-0.3924
61,1989-02-01,-0.3447
62,1989-03-01,0.2946
63,1989-04-01,0.532
64,1989-05-01,-0.2499
65,1989-06-01,-0.0639
66,1989-07-01,-0.2482
67,1989-08-01,0.2902
68,1989-09-01,-0.5245
69,1989-10-01,0.0634
70,1989-11-01,-0.3741
71,1989-12-01,-1.2184
72,1990-01-01,-0.3918
73,1990-02-01,-0.7113
74,1990-03-01,-0.8574
75,1990-04-01,-0.9168
76,1990-05-01,-0.3139
77,1990-06-01,0.3685
78,1990-07-01,0.4173
79,1990-08-01,1.1274
80,1990-09-01,1.2804
81,1990-10-01,1.2652
82,1990-11-01,0.7084
83,1990-12-01,0.1796
84,1991-01-01,-0.8467
85,1991-02-01,-2.5077
86,1991-03-01,-0.9622
87,1991-04-01,-0.658
88,1991-05-01,-0.3236
89,1991-06-01,0.048
90,1991-07-01,0.5114
91,1991-08-01,1.0885
92,1991-09-01,0.7593
93,1991-10-01,0.5717
94,1991-11-01,0.7874
95,1991-12-01,0.1532
96,1992-01-01,-0.5776
97,1992-02-01,-0.6107
98,1992-03-01,-1.3039
99,1992-04-01,-1.2023
100,1992-05-01,-2.2034
101,1992-06-01,-1.6098
102,1992-07-01,-0.91
103,1992-08-01,-0.8006
104,1992-09-01,-0.1786
105,1992-10-01,-0.1534
106,1992-11-01,0.6024
107,1992-12-01,0.5646
108,1993-01-01,0.4284
109,1993-02-01,0.6289
110,1993-03-01,0.6331
111,1993-04-01,0.8281
112,1993-05-01,0.638
113,1993-06-01,1.1918
114,1993-07-01,1.5138
115,1993-08-01,1.7024
116,1993-09-01,1.7016
117,1993-10-01,1.3189
118,1993-11-01,1.3158
119,1993-12-01,-0.0132
120,1994-01-01,-1.3702
121,1994-02-01,-1.4914
122,1994-03-01,-1.7814
123,1994-04-01,-1.4627
124,1994-05-01,-1.18
125,1994-06-01,-1.2386
126,1994-07-01,-1.1642
127,1994-08-01,-1.4417
128,1994-09-01,-1.3274
129,1994-10-01,-1.1355
130,1994-11-01,-0.6657
131,1994-12-01,-0.2222
132,1995-01-01,0.4767
133,1995-02-01,0.5392
134,1995-03-01,1.1807
135,1995-04-01,1.2039
136,1995-05-01,1.4076
137,1995-06-01,1.9231
138,1995-07-01,1.9222
139,1995-08-01,1.9372
140,1995-09-01,1.5574
141,1995-10-01,1.3601
142,1995-11-01,1.3063
143,1995-12-01,1.4172
144,1996-01-01,1.2628
145,1996-02-01,1.1581
146,1996-03-01,1.2411
147,1996-04-01,1.3842
148,1996-05-01,1.5701
149,1996-06-01,0.9572
150,1996-07-01,0.6123
151,1996-08-01,0.2824
152,1996-09-01,0.105
153,1996-10-01,-0.2447
154,1996-11-01,-0.1567
155,1996-12-01,2.0905
156,1997-01-01,2.2225
157,1997-02-01,1.917
158,1997-03-01,1.8745
159,1997-04-01,1.9137
160,1997-05-01,1.6704
161,1997-06-01,0.7115
162,1997-07-01,0.1859
163,1997-08-01,0.6712
164,1997-09-01,1.0046
165,1997-10-01,1.2313
166,1997-11-01,1.3895
167,1997-12-01,0.142
168,1998-01-01,0.3692
169,1998-02-01,0.1009
170,1998-03-01,-0.3201
171,1998-04-01,-0.5832
172,1998-05-01,-0.0373
173,1998-06-01,1.1661
174,1998-07-01,0.8699
175,1998-08-01,0.8089
176,1998-09-01,1.1312
177,1998-10-01,0.8498
178,1998-11-01,1.2111
179,1998-12-01,0.4721
180,1999-01-01,0.5327
181,1999-02-01,1.2241
182,1999-03-01,0.9744
183,1999-04-01,0.9979
184,1999-05-01,0.4606
185,1999-06-01,0.4626
186,1999-07-01,0.2816
187,1999-08-01,-0.4698
188,1999-09-01,-0.4723
189,1999-10-01,-0.6461
190,1999-11-01,-1.0122
191,1999-12-01,-1.7329
192,2000-01-01,-1.0042
193,2000-02-01,-0.5458
194,2000-03-01,-0.5407
195,2000-04-01,-0.5737
196,2000-05-01,-0.392
197,2000-06-01,-0.5273
198,2000-07-01,-1.0906
199,2000-08-01,-1.6708
200,2000-09-01,-1.4289
201,2000-10-01,-0.5772
202,2000-11-01,-1.0209
203,2000-12-01,-1.1405
204,2001-01-01,-1.5605
205,2001-02-01,-1.3092
206,2001-03-01,-1.7178
207,2001-04-01,-1.6646
208,2001-05-01,-1.7079
209,2001-06-01,-1.334
210,2001-07-01,-0.7198
211,2001-08-01,-0.5808
212,2001-09-01,0.0494
213,2001-10-01,-0.3005
214,2001-11-01,-0.1559
215,2001-12-01,0.4182
216,2002-01-01,-0.0637
217,2002-02-01,0.1074
218,2002-03-01,-0.1956
219,2002-04-01,-0.1923
220,2002-05-01,-0.2711
221,2002-06-01,-0.8671
222,2002-07-01,-1.1385
223,2002-08-01,-0.7823
224,2002-09-01,-1.0642
225,2002-10-01,-1.4593
226,2002-11-01,-1.4848
227,2002-12-01,-0.9245
228,2003-01-01,-0.645
229,2003-02-01,-0.5635
230,2003-03-01,-0.1415
231,2003-04-01,0.2241
232,2003-05-01,0.2352
233,2003-06-01,-0.3546
234,2003-07-01,-0.5636
235,2003-08-01,-0.5204
236,2003-09-01,-1.1529
237,2003-10-01,-2.0684
238,2003-11-01,-2.0797
239,2003-12-01,-1.2484
240,2004-01-01,-0.4118
241,2004-02-01,0.0664
242,2004-03-01,-0.3456
243,2004-04-01,-0.2835
244,2004-05-01,0.0079
245,2004-06-01,-0.5293
246,2004-07-01,-0.6211
247,2004-08-01,-0.3856
248,2004-09-01,0.5367
249,2004-10-01,1.2498
250,2004-11-01,0.3716
251,2004-12-01,0.8078
252,2005-01-01,0.2056
253,2005-02-01,-0.8086
254,2005-03-01,-1.0027
255,2005-04-01,-1.2638
256,2005-05-01,-0.4451
257,2005-06-01,-0.1939
258,2005-07-01,-0.0062
259,2005-08-01,0.4213
260,2005-09-01,0.3971
261,2005-10-01,0.3156
262,2005-11-01,0.4616
263,2005-12-01,0.5589
264,2006-01-01,1.4796
265,2006-02-01,1.3721
266,2006-03-01,1.5346
267,2006-04-01,1.7641
268,2006-05-01,1.4615
269,2006-06-01,1.0749
270,2006-07-01,0.201
271,2006-08-01,0.2298
272,2006-09-01,-0.239
273,2006-10-01,-0.756
274,2006-11-01,0.7141
275,2006-12-01,1.0778
276,2007-01-01,0.563
277,2007-02-01,0.5593
278,2007-03-01,0.0444
279,2007-04-01,-0.2717
280,2007-05-01,-1.3095
281,2007-06-01,-1.6004
282,2007-07-01,-1.6473
283,2007-08-01,-1.8037
284,2007-09-01,-1.4356
285,2007-10-01,-0.4818
286,2007-11-01,0.1818
287,2007-12-01,1.1769
288,2008-01-01,1.6133
289,2008-02-01,1.4931
290,2008-03-01,1.4304
291,2008-04-01,0.9953
292,2008-05-01,0.8147
293,2008-06-01,0.2031
294,2008-07-01,-0.4194
295,2008-08-01,-0.5851
296,2008-09-01,-0.8571
297,2008-10-01,-0.9771
298,2008-11-01,-0.8595
299,2008-12-01,-0.2232
300,2009-01-01,-0.1793
301,2009-02-01,-0.1155
302,2009-03-01,0.2905
303,2009-04-01,0.3685
304,2009-05-01,0.4015
305,2009-06-01,0.7302
306,2009-07-01,0.8772
307,2009-08-01,1.2948
308,2009-09-01,0.7494
309,2009-10-01,1.3921
310,2009-11-01,1.0306
311,2009-12-01,-0.6269
312,2010-01-01,-0.7394
313,2010-02-01,-1.495
314,2010-03-01,-0.9217
315,2010-04-01,-1.3514
316,2010-05-01,-0.4724
317,2010-06-01,0.6599
318,2010-07-01,1.0264
319,2010-08-01,1.4573
320,2010-09-01,1.674
321,2010-10-01,1.8244
322,2010-11-01,1.3955
323,2010-12-01,0.7777
324,2011-01-01,0.2838
325,2011-02-01,-0.1713
326,2011-03-01,0.2539
327,2011-04-01,0.4946
328,2011-05-01,0.6752
329,2011-06-01,0.5097
330,2011-07-01,0.8353
331,2011-08-01,0.9674
332,2011-09-01,0.2412
333,2011-10-01,0.2077
334,2011-11-01,-0.2972
335,2011-12-01,-0.8427
336,2012-01-01,-0.6364
337,2012-02-01,-0.4059
338,2012-03-01,0.7199
339,2012-04-01,0.2179
340,2012-05-01,0.1814
341,2012-06-01,0.1856
342,2012-07-01,0.0904
343,2012-08-01,0.1192
344,2012-09-01,-1.4023
345,2012-10-01,-1.2087
346,2012-11-01,-1.0494
347,2012-12-01,0.2336
348,2013-01-01,0.0093
349,2013-02-01,-0.2542
350,2013-03-01,-0.2097
351,2013-04-01,-0.4505
352,2013-05-01,-0.8865
353,2013-06-01,-1.5796
354,2013-07-01,-1.7267
355,2013-08-01,-1.4122
356,2013-09-01,-0.3671
357,2013-10-01,-0.1253
358,2013-11-01,-0.1411
359,2013-12-01,-0.4556
360,2014-01-01,-0.4731
361,2014-02-01,0.6366
362,2014-03-01,0.0646
363,2014-04-01,0.0095
364,2014-05-01,-0.12
365,2014-06-01,0.1292
366,2014-07-01,0.3222
367,2014-08-01,0.101
368,2014-09-01,-0.1864
369,2014-10-01,-0.4136
370,2014-11-01,0.3063
371,2014-12-01,0.7049
372,2015-01-01,0.4866
373,2015-02-01,-0.0808
374,2015-03-01,-0.6903
375,2015-04-01,-0.6629
376,2015-05-01,-0.9685
377,2015-06-01,-1.4562
378,2015-07-01,-0.9119
379,2015-08-01,-0.7598
380,2015-09-01,0.2517
