"Year","Month","Mesic_median","Date","Event"
1984,5,0,1984-05-15,"pre"
1984,6,1.077,1984-06-15,"pre"
1984,7,0,1984-07-15,"pre"
1984,8,3.798,1984-08-15,"pre"
1984,9,NA,1984-09-15,"pre"
1984,10,NA,1984-10-15,"pre"
1985,5,0,1985-05-15,"pre"
1985,6,3.9115,1985-06-15,"pre"
1985,7,5.2155,1985-07-15,"pre"
1985,8,3.345,1985-08-15,"pre"
1985,9,0,1985-09-15,"pre"
1985,10,NA,1985-10-15,"pre"
1986,5,0,1986-05-15,"pre"
1986,6,1.1055,1986-06-15,"pre"
1986,7,5.782,1986-07-15,"pre"
1986,8,0,1986-08-15,"pre"
1986,9,6.519,1986-09-15,"pre"
1986,10,1.247,1986-10-15,"pre"
1987,5,0,1987-05-15,"pre"
1987,6,NA,1987-06-15,"pre"
1987,7,2.4375,1987-07-15,"pre"
1987,8,4.705,1987-08-15,"pre"
1987,9,0,1987-09-15,"pre"
1987,10,0,1987-10-15,"pre"
1988,5,0,1988-05-15,"pre"
1988,6,4.507,1988-06-15,"pre"
1988,7,1.077,1988-07-15,"pre"
1988,8,1.02,1988-08-15,"pre"
1988,9,1.247,1988-09-15,"pre"
1988,10,0,1988-10-15,"pre"
1989,5,0,1989-05-15,"pre"
1989,6,0,1989-06-15,"pre"
1989,7,5.2725,1989-07-15,"pre"
1989,8,6.0655,1989-08-15,"pre"
1989,9,0,1989-09-15,"pre"
1989,10,0,1989-10-15,"pre"
1990,5,NA,1990-05-15,"pre"
1990,6,0,1990-06-15,"pre"
1990,7,NA,1990-07-15,"pre"
1990,8,14.456,1990-08-15,"pre"
1990,9,1.134,1990-09-15,"pre"
1990,10,0,1990-10-15,"pre"
1991,5,NA,1991-05-15,"pre"
1991,6,0,1991-06-15,"pre"
1991,7,5.2155,1991-07-15,"pre"
1991,8,6.7175,1991-08-15,"pre"
1991,9,6.349,1991-09-15,"pre"
1991,10,0.34,1991-10-15,"pre"
1992,5,0,1992-05-15,"pre"
1992,6,8.39,1992-06-15,"pre"
1992,7,4.932,1992-07-15,"pre"
1992,8,2.636,1992-08-15,"pre"
1992,9,0,1992-09-15,"pre"
1992,10,0.34,1992-10-15,"pre"
1993,5,0,1993-05-15,"pre"
1993,6,NA,1993-06-15,"pre"
1993,7,9.8075,1993-07-15,"pre"
1993,8,9.807,1993-08-15,"pre"
1993,9,0.2835,1993-09-15,"pre"
1993,10,0,1993-10-15,"pre"
1994,5,0,1994-05-15,"pre"
1994,6,3.628,1994-06-15,"pre"
1994,7,2.551,1994-07-15,"pre"
1994,8,6.803,1994-08-15,"pre"
1994,9,0,1994-09-15,"pre"
1994,10,0.68,1994-10-15,"pre"
1995,5,0,1995-05-15,"pre"
1995,6,4.3085,1995-06-15,"pre"
1995,7,16.383,1995-07-15,"pre"
1995,8,20.522,1995-08-15,"pre"
1995,9,5.8105,1995-09-15,"pre"
1995,10,0,1995-10-15,"pre"
1996,5,0,1996-05-15,"pre"
1996,6,2.891,1996-06-15,"pre"
1996,7,8.2765,1996-07-15,"pre"
1996,8,15.93,1996-08-15,"pre"
1996,9,1.9275,1996-09-15,"pre"
1996,10,0.68,1996-10-15,"pre"
1997,5,0,1997-05-15,"pre"
1997,6,0,1997-06-15,"pre"
1997,7,8.503,1997-07-15,"pre"
1997,8,5.612,1997-08-15,"pre"
1997,9,1.644,1997-09-15,"pre"
1997,10,0,1997-10-15,"pre"
1998,5,0,1998-05-15,"pre"
1998,6,5.8395,1998-06-15,"pre"
1998,7,7.653,1998-07-15,"pre"
1998,8,5.215,1998-08-15,"pre"
1998,9,1.616,1998-09-15,"pre"
1998,10,0,1998-10-15,"pre"
1999,5,0,1999-05-15,"pre"
1999,6,3.628,1999-06-15,"pre"
1999,7,5.4985,1999-07-15,"pre"
1999,8,0,1999-08-15,"pre"
1999,9,3.033,1999-09-15,"pre"
1999,10,0,1999-10-15,"pre"
2000,5,0,2000-05-15,"pre"
2000,6,2.296,2000-06-15,"pre"
2000,7,1.02,2000-07-15,"pre"
2000,8,2.863,2000-08-15,"pre"
2000,9,2.268,2000-09-15,"pre"
2000,10,0,2000-10-15,"pre"
2001,5,0,2001-05-15,"pre"
2001,6,1.7005,2001-06-15,"pre"
2001,7,1.19,2001-07-15,"pre"
2001,8,4.3085,2001-08-15,"pre"
2001,9,1.2755,2001-09-15,"pre"
2001,10,0,2001-10-15,"pre"
2002,5,0,2002-05-15,"pre"
2002,6,2.0125,2002-06-15,"pre"
2002,7,7.426,2002-07-15,"pre"
2002,8,8.2765,2002-08-15,"pre"
2002,9,0.85,2002-09-15,"pre"
2002,10,0,2002-10-15,"pre"
2003,5,0,2003-05-15,"pre"
2003,6,0,2003-06-15,"pre"
2003,7,8.05,2003-07-15,"pre"
2003,8,10.0905,2003-08-15,"pre"
2003,9,6.4625,2003-09-15,"pre"
2003,10,0.085,2003-10-15,"pre"
2004,5,0,2004-05-15,"pre"
2004,6,8.9855,2004-06-15,"pre"
2004,7,2.608,2004-07-15,"pre"
2004,8,4.8755,2004-08-15,"pre"
2004,9,1.304,2004-09-15,"pre"
2004,10,0,2004-10-15,"pre"
2005,5,0,2005-05-15,"pre"
2005,6,5.839,2005-06-15,"pre"
2005,7,10.204,2005-07-15,"pre"
2005,8,9.127,2005-08-15,"pre"
2005,9,0.567,2005-09-15,"pre"
2005,10,0,2005-10-15,"pre"
2006,5,0,2006-05-15,"pre"
2006,6,2.778,2006-06-15,"pre"
2006,7,14.456,2006-07-15,"pre"
2006,8,7.3415,2006-08-15,"pre"
2006,9,0,2006-09-15,"pre"
2006,10,0,2006-10-15,"pre"
2007,5,0,2007-05-15,"pre"
2007,6,3.912,2007-06-15,"pre"
2007,7,1.389,2007-07-15,"pre"
2007,8,10.5725,2007-08-15,"pre"
2007,9,1.871,2007-09-15,"pre"
2007,10,NA,2007-10-15,"pre"
2008,5,0,2008-05-15,"pre"
2008,6,4.082,2008-06-15,"pre"
2008,7,16.922,2008-07-15,"pre"
2008,8,13.0385,2008-08-15,"pre"
2008,9,4.28,2008-09-15,"pre"
2008,10,0,2008-10-15,"pre"
2009,5,0,2009-05-15,"pre"
2009,6,4.989,2009-06-15,"pre"
2009,7,15.9865,2009-07-15,"pre"
2009,8,16.5535,2009-08-15,"pre"
2009,9,5.329,2009-09-15,"pre"
2009,10,0,2009-10-15,"pre"
2010,5,0,2010-05-15,"pre"
2010,6,NA,2010-06-15,"pre"
2010,7,6.576,2010-07-15,"pre"
2010,8,9.184,2010-08-15,"pre"
2010,9,0.227,2010-09-15,"pre"
2010,10,0,2010-10-15,"pre"
2011,5,0,2011-05-15,"pre"
2011,6,4.875,2011-06-15,"pre"
2011,7,11.593,2011-07-15,"pre"
2011,8,18.283,2011-08-15,"pre"
2011,9,8.0215,2011-09-15,"pre"
2011,10,0,2011-10-15,"pre"
2012,5,NA,2012-05-15,"pre"
2012,6,NA,2012-06-15,"pre"
2012,7,NA,2012-07-15,"pre"
2012,8,NA,2012-08-15,"pre"
2012,9,NA,2012-09-15,"pre"
2012,10,NA,2012-10-15,"pre"
2013,5,0,2013-05-15,"pre"
2013,6,0,2013-06-15,"pre"
2013,7,0.397,2013-07-15,"pre"
2013,8,0.624,2013-08-15,"pre"
2013,9,2.324,2013-09-15,"pre"
2013,10,0.822,2013-10-15,"pre"
2014,5,0,2014-05-15,"pre"
2014,6,0.822,2014-06-15,"pre"
2014,7,0,2014-07-15,"pre"
2014,8,10.147,2014-08-15,"pre"
2014,9,1.134,2014-09-15,"pre"
2014,10,0,2014-10-15,"pre"
2015,5,0,2015-05-15,"post"
2015,6,13.209,2015-06-15,"post"
2015,7,4.932,2015-07-15,"post"
2015,8,21.372,2015-08-15,"post"
2015,9,2.324,2015-09-15,"post"
2015,10,0.68,2015-10-15,"post"
2016,5,2.664,2016-05-15,"post"
2016,6,11.083,2016-06-15,"post"
2016,7,15.42,2016-07-15,"post"
2016,8,6.519,2016-08-15,"post"
2016,9,1.361,2016-09-15,"post"
2016,10,0.7655,2016-10-15,"post"
2017,5,0,2017-05-15,"post"
2017,6,5.5275,2017-06-15,"post"
2017,7,12.387,2017-07-15,"post"
2017,8,7.908,2017-08-15,"post"
2017,9,0.113,2017-09-15,"post"
2017,10,0,2017-10-15,"post"
2018,5,0,2018-05-15,"post"
2018,6,11.253,2018-06-15,"post"
2018,7,15.023,2018-07-15,"post"
2018,8,12.954,2018-08-15,"post"
2018,9,7.823,2018-09-15,"post"
2018,10,0,2018-10-15,"post"
2019,5,0,2019-05-15,"post"
2019,6,4.8755,2019-06-15,"post"
2019,7,6.6895,2019-07-15,"post"
2019,8,8.815,2019-08-15,"post"
2019,9,15.108,2019-09-15,"post"
2019,10,0,2019-10-15,"post"
2020,5,0,2020-05-15,"post"
2020,6,5.329,2020-06-15,"post"
2020,7,16.553,2020-07-15,"post"
2020,8,17.234,2020-08-15,"post"
2020,9,5.584,2020-09-15,"post"
2020,10,1.361,2020-10-15,"post"
2021,5,0,2021-05-15,"post"
2021,6,5.669,2021-06-15,"post"
2021,7,9.921,2021-07-15,"post"
2021,8,31.576,2021-08-15,"post"
2021,9,3.7985,2021-09-15,"post"
2021,10,1.899,2021-10-15,"post"
2022,5,0,2022-05-15,"post"
2022,6,0,2022-06-15,"post"
2022,7,34.014,2022-07-15,"post"
2022,8,32.483,2022-08-15,"post"
2022,9,21.2585,2022-09-15,"post"
2022,10,1.587,2022-10-15,"post"
2023,5,0.34,2023-05-15,"post"
2023,6,NA,2023-06-15,"post"
2023,7,34.099,2023-07-15,"post"
2023,8,0,2023-08-15,"post"
2023,9,18.594,2023-09-15,"post"
2023,10,1.587,2023-10-15,"post"
2024,5,0,2024-05-15,"post"
2024,6,12.812,2024-06-15,"post"
2024,7,34.9495,2024-07-15,"post"
2024,8,15.703,2024-08-15,"post"
2024,9,28.0615,2024-09-15,"post"
2024,10,1.446,2024-10-15,"post"
