,Date,speih
0,1984-01-01,0.6538
1,1984-02-01,0.564
2,1984-03-01,1.0898
3,1984-04-01,1.5267
4,1984-05-01,1.0788
5,1984-06-01,1.1907
6,1984-07-01,1.267
7,1984-08-01,1.4885
8,1984-09-01,1.3504
9,1984-10-01,1.533
10,1984-11-01,2.2279
11,1984-12-01,1.4602
12,1985-01-01,1.3578
13,1985-02-01,0.8264
14,1985-03-01,0.6125
15,1985-04-01,-0.6121
16,1985-05-01,-1.2534
17,1985-06-01,-1.6239
18,1985-07-01,-1.9576
19,1985-08-01,-1.7396
20,1985-09-01,-1.0994
21,1985-10-01,-0.9272
22,1985-11-01,-0.3075
23,1985-12-01,0.5281
24,1986-01-01,0.7022
25,1986-02-01,1.224
26,1986-03-01,0.2667
27,1986-04-01,-0.0196
28,1986-05-01,-0.3541
29,1986-06-01,-1.1784
30,1986-07-01,-0.7949
31,1986-08-01,-1.4803
32,1986-09-01,-0.4153
33,1986-10-01,-0.0426
34,1986-11-01,-0.1609
35,1986-12-01,0.6875
36,1987-01-01,0.563
37,1987-02-01,0.6767
38,1987-03-01,-0.0975
39,1987-04-01,-1.0556
40,1987-05-01,-1.2847
41,1987-06-01,-1.248
42,1987-07-01,0.0631
43,1987-08-01,-0.169
44,1987-09-01,-0.5625
45,1987-10-01,-0.3285
46,1987-11-01,-0.4218
47,1987-12-01,-0.1878
48,1988-01-01,-1.9406
49,1988-02-01,-1.8727
50,1988-03-01,-2.0729
51,1988-04-01,-1.4182
52,1988-05-01,-1.0825
53,1988-06-01,-0.8333
54,1988-07-01,-1.0133
55,1988-08-01,-0.7216
56,1988-09-01,-0.4518
57,1988-10-01,-1.7979
58,1988-11-01,-1.2232
59,1988-12-01,-1.7159
60,1989-01-01,-1.3866
61,1989-02-01,-1.1654
62,1989-03-01,-0.897
63,1989-04-01,0.5819
64,1989-05-01,0.3904
65,1989-06-01,0.1358
66,1989-07-01,0.218
67,1989-08-01,0.6443
68,1989-09-01,0.5192
69,1989-10-01,-0.3367
70,1989-11-01,-1.0772
71,1989-12-01,-1.0741
72,1990-01-01,-0.8483
73,1990-02-01,-1.4791
74,1990-03-01,-1.7163
75,1990-04-01,-1.8375
76,1990-05-01,-1.1671
77,1990-06-01,-0.7728
78,1990-07-01,-1.0519
79,1990-08-01,-0.4902
80,1990-09-01,-0.7872
81,1990-10-01,-0.7499
82,1990-11-01,-1.068
83,1990-12-01,-1.1206
84,1991-01-01,-1.0635
85,1991-02-01,-1.41
86,1991-03-01,-0.9099
87,1991-04-01,-0.8952
88,1991-05-01,-0.0392
89,1991-06-01,0.3039
90,1991-07-01,0.5962
91,1991-08-01,0.5368
92,1991-09-01,0.1376
93,1991-10-01,-0.2609
94,1991-11-01,-0.8549
95,1991-12-01,-1.5891
96,1992-01-01,-1.605
97,1992-02-01,-1.4931
98,1992-03-01,-1.5691
99,1992-04-01,-1.6261
100,1992-05-01,-2.3721
101,1992-06-01,-2.132
102,1992-07-01,-1.1967
103,1992-08-01,-1.0723
104,1992-09-01,-0.9942
105,1992-10-01,-0.533
106,1992-11-01,0.6137
107,1992-12-01,0.7675
108,1993-01-01,-0.6486
109,1993-02-01,-0.3254
110,1993-03-01,0.2475
111,1993-04-01,0.5173
112,1993-05-01,-0.0036
113,1993-06-01,0.7506
114,1993-07-01,1.3168
115,1993-08-01,1.5224
116,1993-09-01,1.2144
117,1993-10-01,0.7871
118,1993-11-01,0.7904
119,1993-12-01,-0.3548
120,1994-01-01,-1.167
121,1994-02-01,-1.4728
122,1994-03-01,-1.5061
123,1994-04-01,-1.1121
124,1994-05-01,-0.3609
125,1994-06-01,-0.2322
126,1994-07-01,-0.4773
127,1994-08-01,-0.6845
128,1994-09-01,-0.5862
129,1994-10-01,-0.8003
130,1994-11-01,-0.7594
131,1994-12-01,-1.0473
132,1995-01-01,-0.3034
133,1995-02-01,0.0551
134,1995-03-01,0.3366
135,1995-04-01,0.6746
136,1995-05-01,0.1143
137,1995-06-01,0.6219
138,1995-07-01,0.7146
139,1995-08-01,0.648
140,1995-09-01,0.7823
141,1995-10-01,0.4716
142,1995-11-01,0.8549
143,1995-12-01,1.2412
144,1996-01-01,1.1386
145,1996-02-01,1.2809
146,1996-03-01,1.1121
147,1996-04-01,1.4055
148,1996-05-01,1.3534
149,1996-06-01,0.6809
150,1996-07-01,0.2206
151,1996-08-01,-0.2238
152,1996-09-01,0.1732
153,1996-10-01,-0.0641
154,1996-11-01,-0.1605
155,1996-12-01,0.5124
156,1997-01-01,0.8531
157,1997-02-01,1.1148
158,1997-03-01,0.7912
159,1997-04-01,1.1667
160,1997-05-01,0.1957
161,1997-06-01,0.4446
162,1997-07-01,0.8544
163,1997-08-01,0.5406
164,1997-09-01,1.0369
165,1997-10-01,0.8796
166,1997-11-01,1.2474
167,1997-12-01,0.0927
168,1998-01-01,0.2693
169,1998-02-01,0.3428
170,1998-03-01,0.0249
171,1998-04-01,0.2675
172,1998-05-01,1.573
173,1998-06-01,1.8614
174,1998-07-01,1.628
175,1998-08-01,1.4984
176,1998-09-01,1.5198
177,1998-10-01,1.4181
178,1998-11-01,0.3054
179,1998-12-01,-0.2516
180,1999-01-01,-0.7019
181,1999-02-01,-0.3895
182,1999-03-01,-0.2601
183,1999-04-01,-0.1914
184,1999-05-01,-0.6281
185,1999-06-01,-0.3985
186,1999-07-01,-0.0954
187,1999-08-01,0.1125
188,1999-09-01,0.0945
189,1999-10-01,0.3143
190,1999-11-01,0.0284
191,1999-12-01,-0.5996
192,2000-01-01,-0.5952
193,2000-02-01,-0.7292
194,2000-03-01,-0.2364
195,2000-04-01,-1.0539
196,2000-05-01,-0.7783
197,2000-06-01,-0.8566
198,2000-07-01,-0.8282
199,2000-08-01,-1.0503
200,2000-09-01,-1.0556
201,2000-10-01,0.1417
202,2000-11-01,0.2603
203,2000-12-01,0.5682
204,2001-01-01,0.1976
205,2001-02-01,0.2405
206,2001-03-01,0.0809
207,2001-04-01,0.1622
208,2001-05-01,-0.6111
209,2001-06-01,-0.0262
210,2001-07-01,0.6682
211,2001-08-01,0.4073
212,2001-09-01,0.3992
213,2001-10-01,-0.4633
214,2001-11-01,0.3713
215,2001-12-01,0.0669
216,2002-01-01,-0.6777
217,2002-02-01,-0.764
218,2002-03-01,-0.7302
219,2002-04-01,-1.0528
220,2002-05-01,-0.8878
221,2002-06-01,-0.9856
222,2002-07-01,-1.2116
223,2002-08-01,-0.6764
224,2002-09-01,-0.7653
225,2002-10-01,-0.5609
226,2002-11-01,-1.1903
227,2002-12-01,-0.9011
228,2003-01-01,-0.3516
229,2003-02-01,-0.541
230,2003-03-01,-0.2285
231,2003-04-01,0.4162
232,2003-05-01,0.8796
233,2003-06-01,-0.1096
234,2003-07-01,-0.3836
235,2003-08-01,-0.4862
236,2003-09-01,-0.5626
237,2003-10-01,-1.3198
238,2003-11-01,-1.5495
239,2003-12-01,-0.3306
240,2004-01-01,0.3247
241,2004-02-01,0.3584
242,2004-03-01,0.0953
243,2004-04-01,0.2613
244,2004-05-01,1.2089
245,2004-06-01,0.7747
246,2004-07-01,0.6943
247,2004-08-01,1.1367
248,2004-09-01,1.4761
249,2004-10-01,1.6678
250,2004-11-01,0.8266
251,2004-12-01,1.1814
252,2005-01-01,0.7341
253,2005-02-01,-0.2175
254,2005-03-01,-0.4604
255,2005-04-01,-0.2321
256,2005-05-01,0.6811
257,2005-06-01,0.8295
258,2005-07-01,0.8824
259,2005-08-01,0.7501
260,2005-09-01,0.9227
261,2005-10-01,0.9577
262,2005-11-01,0.6424
263,2005-12-01,0.7446
264,2006-01-01,1.3192
265,2006-02-01,1.3575
266,2006-03-01,1.6598
267,2006-04-01,1.5099
268,2006-05-01,0.9534
269,2006-06-01,0.7885
270,2006-07-01,0.3891
271,2006-08-01,0.4159
272,2006-09-01,0.2781
273,2006-10-01,0.0392
274,2006-11-01,0.6052
275,2006-12-01,0.2631
276,2007-01-01,0.1298
277,2007-02-01,0.3628
278,2007-03-01,0.2723
279,2007-04-01,0.5245
280,2007-05-01,-0.6439
281,2007-06-01,-0.6748
282,2007-07-01,-0.6437
283,2007-08-01,-0.9094
284,2007-09-01,-0.6255
285,2007-10-01,0.0313
286,2007-11-01,0.9043
287,2007-12-01,1.567
288,2008-01-01,2.1696
289,2008-02-01,2.1649
290,2008-03-01,2.0258
291,2008-04-01,1.3641
292,2008-05-01,1.1392
293,2008-06-01,0.3207
294,2008-07-01,-0.4548
295,2008-08-01,-0.2814
296,2008-09-01,-0.2952
297,2008-10-01,-0.6427
298,2008-11-01,-1.3743
299,2008-12-01,-1.102
300,2009-01-01,-1.0172
301,2009-02-01,-1.2626
302,2009-03-01,-1.0426
303,2009-04-01,-0.8482
304,2009-05-01,-0.811
305,2009-06-01,-0.5153
306,2009-07-01,-0.492
307,2009-08-01,-0.0336
308,2009-09-01,-0.3903
309,2009-10-01,0.4807
310,2009-11-01,1.2139
311,2009-12-01,0.8646
312,2010-01-01,1.2867
313,2010-02-01,0.8587
314,2010-03-01,1.1564
315,2010-04-01,1.0749
316,2010-05-01,0.9339
317,2010-06-01,1.6491
318,2010-07-01,1.4339
319,2010-08-01,1.4953
320,2010-09-01,1.7655
321,2010-10-01,1.7523
322,2010-11-01,1.8592
323,2010-12-01,1.7354
324,2011-01-01,1.3994
325,2011-02-01,1.3521
326,2011-03-01,1.282
327,2011-04-01,1.4071
328,2011-05-01,1.7432
329,2011-06-01,1.7069
330,2011-07-01,1.8498
331,2011-08-01,1.7738
332,2011-09-01,1.3722
333,2011-10-01,1.206
334,2011-11-01,-0.0261
335,2011-12-01,-1.0719
336,2012-01-01,-1.0646
337,2012-02-01,-1.0023
338,2012-03-01,-0.3384
339,2012-04-01,-0.1393
340,2012-05-01,-0.094
341,2012-06-01,0.7869
342,2012-07-01,0.9441
343,2012-08-01,0.7517
344,2012-09-01,0.392
345,2012-10-01,0.6338
346,2012-11-01,1.0452
347,2012-12-01,0.6773
348,2013-01-01,0.1251
349,2013-02-01,0.1013
350,2013-03-01,0.2893
351,2013-04-01,0.2486
352,2013-05-01,1.0598
353,2013-06-01,1.1161
354,2013-07-01,0.9397
355,2013-08-01,1.3422
356,2013-09-01,1.704
357,2013-10-01,1.7785
358,2013-11-01,1.0901
359,2013-12-01,0.1627
360,2014-01-01,0.3419
361,2014-02-01,0.3989
362,2014-03-01,0.0883
363,2014-04-01,-0.0616
364,2014-05-01,-0.2342
365,2014-06-01,-0.0419
366,2014-07-01,-0.1088
367,2014-08-01,-0.3438
368,2014-09-01,-0.5436
369,2014-10-01,-0.4992
370,2014-11-01,0.4582
371,2014-12-01,0.9312
372,2015-01-01,0.864
373,2015-02-01,0.6426
374,2015-03-01,0.5364
375,2015-04-01,-0.0042
376,2015-05-01,-0.3461
377,2015-06-01,-1.0508
378,2015-07-01,-0.6319
379,2015-08-01,-0.9247
380,2015-09-01,-0.7134
381,2015-10-01,-0.1748
382,2015-11-01,0.2092
383,2015-12-01,1.4718
384,2016-01-01,1.2043
385,2016-02-01,0.9564
386,2016-03-01,1.3241
387,2016-04-01,0.6942
388,2016-05-01,0.1085
389,2016-06-01,-0.4848
390,2016-07-01,-0.0326
391,2016-08-01,0.0454
392,2016-09-01,-0.0473
393,2016-10-01,1.1219
394,2016-11-01,0.8999
395,2016-12-01,1.2471
396,2017-01-01,0.9622
397,2017-02-01,1.2138
398,2017-03-01,1.4877
399,2017-04-01,1.2901
400,2017-05-01,0.9775
401,2017-06-01,0.3725
402,2017-07-01,-0.4428
403,2017-08-01,-0.8596
404,2017-09-01,-1.0953
405,2017-10-01,-1.7193
406,2017-11-01,-1.4509
407,2017-12-01,-1.4197
408,2018-01-01,-0.8613
409,2018-02-01,-0.6909
410,2018-03-01,-0.6026
411,2018-04-01,-0.8075
412,2018-05-01,-0.7792
413,2018-06-01,-0.4821
414,2018-07-01,-0.6134
415,2018-08-01,-0.5541
416,2018-09-01,-0.8914
417,2018-10-01,-0.5776
418,2018-11-01,-0.6456
419,2018-12-01,-0.8824
420,2019-01-01,-0.4965
421,2019-02-01,0.6521
422,2019-03-01,1.3333
423,2019-04-01,1.7558
424,2019-05-01,1.937
425,2019-06-01,1.8633
426,2019-07-01,1.9174
427,2019-08-01,1.5701
428,2019-09-01,1.7035
429,2019-10-01,1.4516
430,2019-11-01,0.9217
431,2019-12-01,0.9033
432,2020-01-01,0.3063
433,2020-02-01,-0.3588
434,2020-03-01,-1.1872
435,2020-04-01,-1.4927
436,2020-05-01,-0.9922
437,2020-06-01,-0.3352
438,2020-07-01,-0.2755
439,2020-08-01,-0.3713
440,2020-09-01,-0.5596
441,2020-10-01,-0.6805
442,2020-11-01,-0.3565
443,2020-12-01,-1.279
444,2021-01-01,-1.1423
445,2021-02-01,-0.7241
446,2021-03-01,-0.7935
447,2021-04-01,-1.1606
448,2021-05-01,-1.6267
449,2021-06-01,-1.8369
450,2021-07-01,-2.3701
451,2021-08-01,-2.3366
452,2021-09-01,-2.9396
453,2021-10-01,-1.8663
454,2021-11-01,-1.4374
455,2021-12-01,-0.8401
456,2022-01-01,-0.2841
457,2022-02-01,-0.52
458,2022-03-01,-0.9356
459,2022-04-01,-0.83
460,2022-05-01,-0.1603
461,2022-06-01,0.4369
462,2022-07-01,0.3835
463,2022-08-01,0.2811
464,2022-09-01,0.4034
465,2022-10-01,-0.2444
466,2022-11-01,-0.955
467,2022-12-01,-1.4122
468,2023-01-01,-1.4268
469,2023-02-01,-1.1998
470,2023-03-01,-0.8023
471,2023-04-01,-0.4337
472,2023-05-01,0.0819
473,2023-06-01,-0.5972
474,2023-07-01,-0.5609
475,2023-08-01,-0.2718
476,2023-09-01,-0.0421
477,2023-10-01,-0.0517
478,2023-11-01,-0.7236
479,2023-12-01,-0.2802
480,2024-01-01,0.6482
481,2024-02-01,0.6545
482,2024-03-01,0.2854
483,2024-04-01,0.0834
484,2024-05-01,0.2955
485,2024-06-01,-0.174
486,2024-07-01,-0.9956
487,2024-08-01,-1.0685
488,2024-09-01,-1.4182
489,2024-10-01,-1.5444
490,2024-11-01,-1.551
491,2024-12-01,-0.2189
