,Date,speih
0,1984-01-01,0.5672
1,1984-02-01,0.4646
2,1984-03-01,0.9617
3,1984-04-01,1.3949
4,1984-05-01,1.0746
5,1984-06-01,1.2149
6,1984-07-01,1.2948
7,1984-08-01,1.551
8,1984-09-01,1.4007
9,1984-10-01,1.5911
10,1984-11-01,2.1686
11,1984-12-01,1.3694
12,1985-01-01,1.2837
13,1985-02-01,0.7724
14,1985-03-01,0.5727
15,1985-04-01,-0.649
16,1985-05-01,-1.254
17,1985-06-01,-1.6456
18,1985-07-01,-1.9897
19,1985-08-01,-1.7784
20,1985-09-01,-1.1615
21,1985-10-01,-0.9873
22,1985-11-01,-0.3143
23,1985-12-01,0.5054
24,1986-01-01,0.6648
25,1986-02-01,1.1567
26,1986-03-01,0.231
27,1986-04-01,-0.0356
28,1986-05-01,-0.39
29,1986-06-01,-1.2249
30,1986-07-01,-0.8267
31,1986-08-01,-1.4978
32,1986-09-01,-0.4363
33,1986-10-01,-0.034
34,1986-11-01,-0.2291
35,1986-12-01,0.5929
36,1987-01-01,0.5039
37,1987-02-01,0.5869
38,1987-03-01,-0.153
39,1987-04-01,-1.1092
40,1987-05-01,-1.3028
41,1987-06-01,-1.2657
42,1987-07-01,0.0219
43,1987-08-01,-0.1936
44,1987-09-01,-0.5806
45,1987-10-01,-0.3207
46,1987-11-01,-0.4141
47,1987-12-01,-0.2277
48,1988-01-01,-1.9448
49,1988-02-01,-1.8836
50,1988-03-01,-2.0955
51,1988-04-01,-1.4762
52,1988-05-01,-1.1701
53,1988-06-01,-0.8837
54,1988-07-01,-1.0554
55,1988-08-01,-0.7495
56,1988-09-01,-0.464
57,1988-10-01,-1.826
58,1988-11-01,-1.2543
59,1988-12-01,-1.7152
60,1989-01-01,-1.4016
61,1989-02-01,-1.1932
62,1989-03-01,-0.9475
63,1989-04-01,0.4599
64,1989-05-01,0.3726
65,1989-06-01,0.0888
66,1989-07-01,0.1869
67,1989-08-01,0.6567
68,1989-09-01,0.5397
69,1989-10-01,-0.3532
70,1989-11-01,-1.1106
71,1989-12-01,-1.0733
72,1990-01-01,-0.8481
73,1990-02-01,-1.5041
74,1990-03-01,-1.741
75,1990-04-01,-1.843
76,1990-05-01,-1.2255
77,1990-06-01,-0.8348
78,1990-07-01,-1.1341
79,1990-08-01,-0.5835
80,1990-09-01,-0.9229
81,1990-10-01,-0.8745
82,1990-11-01,-1.1326
83,1990-12-01,-1.1534
84,1991-01-01,-1.0761
85,1991-02-01,-1.4034
86,1991-03-01,-0.9126
87,1991-04-01,-0.9135
88,1991-05-01,-0.0751
89,1991-06-01,0.219
90,1991-07-01,0.5342
91,1991-08-01,0.4429
92,1991-09-01,0.0218
93,1991-10-01,-0.4233
94,1991-11-01,-1.0437
95,1991-12-01,-1.6555
96,1992-01-01,-1.67
97,1992-02-01,-1.5317
98,1992-03-01,-1.6308
99,1992-04-01,-1.6267
100,1992-05-01,-2.3325
101,1992-06-01,-2.1177
102,1992-07-01,-1.1972
103,1992-08-01,-1.0481
104,1992-09-01,-0.9401
105,1992-10-01,-0.5237
106,1992-11-01,0.5872
107,1992-12-01,0.7031
108,1993-01-01,-0.6598
109,1993-02-01,-0.3726
110,1993-03-01,0.23
111,1993-04-01,0.4721
112,1993-05-01,-0.0276
113,1993-06-01,0.7753
114,1993-07-01,1.3766
115,1993-08-01,1.5885
116,1993-09-01,1.2339
117,1993-10-01,0.7883
118,1993-11-01,0.7738
119,1993-12-01,-0.342
120,1994-01-01,-1.1439
121,1994-02-01,-1.4491
122,1994-03-01,-1.454
123,1994-04-01,-1.1294
124,1994-05-01,-0.4081
125,1994-06-01,-0.2809
126,1994-07-01,-0.5424
127,1994-08-01,-0.7467
128,1994-09-01,-0.688
129,1994-10-01,-0.8532
130,1994-11-01,-0.8883
131,1994-12-01,-1.1081
132,1995-01-01,-0.3577
133,1995-02-01,-0.0399
134,1995-03-01,0.199
135,1995-04-01,0.5125
136,1995-05-01,0.045
137,1995-06-01,0.508
138,1995-07-01,0.538
139,1995-08-01,0.4604
140,1995-09-01,0.6124
141,1995-10-01,0.2463
142,1995-11-01,0.6107
143,1995-12-01,0.9462
144,1996-01-01,0.9586
145,1996-02-01,1.131
146,1996-03-01,0.993
147,1996-04-01,1.2785
148,1996-05-01,1.306
149,1996-06-01,0.641
150,1996-07-01,0.1524
151,1996-08-01,-0.3352
152,1996-09-01,0.058
153,1996-10-01,-0.1623
154,1996-11-01,-0.2399
155,1996-12-01,0.4551
156,1997-01-01,0.7826
157,1997-02-01,1.0366
158,1997-03-01,0.7871
159,1997-04-01,1.1614
160,1997-05-01,0.1737
161,1997-06-01,0.3988
162,1997-07-01,0.8381
163,1997-08-01,0.4767
164,1997-09-01,0.9671
165,1997-10-01,0.7812
166,1997-11-01,1.1119
167,1997-12-01,-0.0799
168,1998-01-01,0.1347
169,1998-02-01,0.2441
170,1998-03-01,-0.0611
171,1998-04-01,0.1241
172,1998-05-01,1.5579
173,1998-06-01,1.8649
174,1998-07-01,1.6003
175,1998-08-01,1.4782
176,1998-09-01,1.493
177,1998-10-01,1.3842
178,1998-11-01,0.1336
179,1998-12-01,-0.3519
180,1999-01-01,-0.7576
181,1999-02-01,-0.4456
182,1999-03-01,-0.298
183,1999-04-01,-0.2464
184,1999-05-01,-0.6684
185,1999-06-01,-0.4463
186,1999-07-01,-0.1204
187,1999-08-01,0.0462
188,1999-09-01,0.0316
189,1999-10-01,0.2656
