,Date,speih
0,1984-01-01,0.5621
1,1984-02-01,0.4696
2,1984-03-01,0.9793
3,1984-04-01,1.4083
4,1984-05-01,1.0843
5,1984-06-01,1.1991
6,1984-07-01,1.2902
7,1984-08-01,1.5293
8,1984-09-01,1.3943
9,1984-10-01,1.5728
10,1984-11-01,2.161
11,1984-12-01,1.3526
12,1985-01-01,1.265
13,1985-02-01,0.7463
14,1985-03-01,0.5291
15,1985-04-01,-0.6944
16,1985-05-01,-1.2763
17,1985-06-01,-1.6412
18,1985-07-01,-1.9894
19,1985-08-01,-1.8009
20,1985-09-01,-1.1565
21,1985-10-01,-0.9748
22,1985-11-01,-0.3041
23,1985-12-01,0.4973
24,1986-01-01,0.6733
25,1986-02-01,1.1877
26,1986-03-01,0.2304
27,1986-04-01,-0.0137
28,1986-05-01,-0.3695
29,1986-06-01,-1.1943
30,1986-07-01,-0.7961
31,1986-08-01,-1.4858
32,1986-09-01,-0.4259
33,1986-10-01,-0.0392
34,1986-11-01,-0.2386
35,1986-12-01,0.5856
36,1987-01-01,0.4665
37,1987-02-01,0.5476
38,1987-03-01,-0.1826
39,1987-04-01,-1.1372
40,1987-05-01,-1.3101
41,1987-06-01,-1.2624
42,1987-07-01,0.0165
43,1987-08-01,-0.1679
44,1987-09-01,-0.5669
45,1987-10-01,-0.2996
46,1987-11-01,-0.3956
47,1987-12-01,-0.1681
48,1988-01-01,-1.867
49,1988-02-01,-1.8458
50,1988-03-01,-2.0354
51,1988-04-01,-1.4091
52,1988-05-01,-1.1178
53,1988-06-01,-0.8502
54,1988-07-01,-1.0296
55,1988-08-01,-0.7129
56,1988-09-01,-0.4343
57,1988-10-01,-1.822
58,1988-11-01,-1.2401
59,1988-12-01,-1.7013
60,1989-01-01,-1.3847
61,1989-02-01,-1.1989
62,1989-03-01,-0.9517
63,1989-04-01,0.433
64,1989-05-01,0.3584
65,1989-06-01,0.0745
66,1989-07-01,0.1526
67,1989-08-01,0.6382
68,1989-09-01,0.5267
69,1989-10-01,-0.3461
70,1989-11-01,-1.1194
71,1989-12-01,-1.0669
72,1990-01-01,-0.8377
73,1990-02-01,-1.5124
74,1990-03-01,-1.7395
75,1990-04-01,-1.8421
76,1990-05-01,-1.2394
77,1990-06-01,-0.847
78,1990-07-01,-1.1718
79,1990-08-01,-0.6365
80,1990-09-01,-1.0208
81,1990-10-01,-0.949
82,1990-11-01,-1.1864
83,1990-12-01,-1.1952
84,1991-01-01,-1.1137
85,1991-02-01,-1.4132
86,1991-03-01,-0.9191
87,1991-04-01,-0.9258
88,1991-05-01,-0.1006
89,1991-06-01,0.2207
90,1991-07-01,0.5225
91,1991-08-01,0.4113
92,1991-09-01,-0.0206
93,1991-10-01,-0.4633
94,1991-11-01,-1.0637
95,1991-12-01,-1.6865
96,1992-01-01,-1.6911
97,1992-02-01,-1.5368
98,1992-03-01,-1.63
99,1992-04-01,-1.6078
100,1992-05-01,-2.3215
101,1992-06-01,-2.1151
102,1992-07-01,-1.1925
103,1992-08-01,-1.0484
104,1992-09-01,-0.9531
105,1992-10-01,-0.5398
106,1992-11-01,0.5793
107,1992-12-01,0.7316
108,1993-01-01,-0.6045
109,1993-02-01,-0.3057
110,1993-03-01,0.3156
111,1993-04-01,0.5519
112,1993-05-01,0.0391
113,1993-06-01,0.7958
114,1993-07-01,1.386
115,1993-08-01,1.5633
116,1993-09-01,1.2293
117,1993-10-01,0.7817
118,1993-11-01,0.7752
119,1993-12-01,-0.3941
120,1994-01-01,-1.2211
121,1994-02-01,-1.4826
122,1994-03-01,-1.5007
123,1994-04-01,-1.2008
124,1994-05-01,-0.4558
125,1994-06-01,-0.2967
126,1994-07-01,-0.5875
127,1994-08-01,-0.7941
128,1994-09-01,-0.7627
129,1994-10-01,-0.8969
130,1994-11-01,-0.9832
131,1994-12-01,-1.1773
132,1995-01-01,-0.382
133,1995-02-01,-0.0513
134,1995-03-01,0.1953
135,1995-04-01,0.4857
136,1995-05-01,0.0451
137,1995-06-01,0.5163
138,1995-07-01,0.5492
139,1995-08-01,0.48
140,1995-09-01,0.6361
141,1995-10-01,0.287
