"Year","Month","Mesic_median","Mesic_mean"
1984,5,NA,NA
1984,6,4.831,4.831
1984,7,11.353,11.353
1984,8,NA,NA
1984,9,NA,NA
1984,10,NA,NA
1985,5,0,0
1985,6,0,0
1985,7,0,0
1985,8,NA,NA
1985,9,NA,NA
1985,10,NA,NA
1986,5,36.956,36.956
1986,6,2.7775,2.7775
1986,7,NA,NA
1986,8,0,0
1986,9,NA,NA
1986,10,0,0
1987,5,0,0
1987,6,0,0
1987,7,0,0
1987,8,0,0
1987,9,0,0
1987,10,0,0
1988,5,0,0
1988,6,0,0
1988,7,0,0
1988,8,0,0
1988,9,0,0
1988,10,0,0
1989,5,NA,NA
1989,6,70.048,70.048
1989,7,0,0
1989,8,0,0
1989,9,0,0
1989,10,0,0
1990,5,0,0
1990,6,0,0
1990,7,NA,NA
1990,8,0,0
1990,9,0,0
1990,10,NA,NA
1991,5,65.217,65.217
1991,6,NA,NA
1991,7,NA,NA
1991,8,0,0
1991,9,NA,NA
1991,10,0,0
1992,5,0,0
1992,6,0,0
1992,7,NA,NA
1992,8,0,0
1992,9,0,0
1992,10,NA,NA
1993,5,77.778,77.778
1993,6,29.227,29.227
1993,7,4.71,4.71
1993,8,0,0
1993,9,0,0
1993,10,0,7.08533333333333
1994,5,0,0
1994,6,NA,NA
1994,7,0,0
1994,8,0,0
1994,9,0,0
1994,10,NA,NA
1995,5,NA,NA
1995,6,NA,NA
1995,7,3.1405,3.1405
1995,8,0,0
1995,9,0,0
1995,10,0,0
1996,5,0,0
1996,6,1.691,1.691
1996,7,0,0
1996,8,0,0
1996,9,NA,NA
1996,10,0,0
1997,5,0,0
1997,6,2.657,2.657
1997,7,1.4495,1.4495
1997,8,0,0
1997,9,0,0
1997,10,0,0
1998,5,NA,NA
1998,6,37.8015,37.8015
1998,7,2.174,1.691
1998,8,0,0
1998,9,0,0
1998,10,0,0
1999,5,0,0
1999,6,0,0
1999,7,0,0
1999,8,0,0
1999,9,0,0
1999,10,0,0
2000,5,0,0
2000,6,0,0
2000,7,0,0
2000,8,0,0
2000,9,0,0
2000,10,0,0
2001,5,NA,NA
2001,6,0,0
2001,7,NA,NA
2001,8,0,0
2001,9,0,0
2001,10,0,0
2002,5,0,0
2002,6,NA,NA
2002,7,0,0
2002,8,0,0
2002,9,0,0
2002,10,0,0
2003,5,5.072,5.072
2003,6,0,0
2003,7,0,0
2003,8,0,0
2003,9,0,0
2003,10,0,0
2004,5,32.367,32.367
2004,6,42.029,33.9776666666667
2004,7,0,0
2004,8,0,0
2004,9,0,0
2004,10,0,0
2005,5,NA,NA
2005,6,0,0
2005,7,0,0
2005,8,0,0
2005,9,0,0
2005,10,0,0
2006,5,0,0
2006,6,0,0
2006,7,0,0
2006,8,0,0
2006,9,0,0
2006,10,0,0
2007,5,0,0
2007,6,0,0
2007,7,0,0
2007,8,0,0
2007,9,0,0
2007,10,NA,NA
2008,5,NA,NA
2008,6,0,0
2008,7,0,0
2008,8,0,0
2008,9,0,0
2008,10,0,0
2009,5,0,0
2009,6,0,0
2009,7,0,0
2009,8,0,0
2009,9,0,0
2009,10,0,0
2010,5,NA,NA
2010,6,1.087,1.087
2010,7,0,0
2010,8,0,0
2010,9,0,0
2010,10,0,0
2011,5,0,0
2011,6,12.4395,12.4395
2011,7,3.5025,3.5025
2011,8,0,0.966333333333333
2011,9,0,0
2011,10,0,0
2012,5,NA,NA
2012,6,NA,NA
2012,7,NA,NA
2012,8,NA,NA
2012,9,NA,NA
2012,10,NA,NA
2013,5,NA,NA
2013,6,1.4495,1.4495
2013,7,0,0.72475
2013,8,0,0
2013,9,0,0
2013,10,61.3525,61.3525
2014,5,20.531,20.531
2014,6,1.691,1.691
2014,7,0,0
2014,8,0,0
2014,9,0,0
2014,10,0,0
2015,5,4.348,4.348
2015,6,0.8455,0.8455
2015,7,0,0
2015,8,0,0
2015,9,0,0
2015,10,0,0
2016,5,7.85,7.85
2016,6,2.899,2.899
2016,7,0,0.72475
2016,8,0,0
2016,9,0,0
2016,10,0,0
2017,5,38.889,38.164
2017,6,15.459,13.929
2017,7,0,0.724666666666667
2017,8,0.725,0.483333333333333
2017,9,0.725,0.725
2017,10,0,0
2018,5,NA,NA
2018,6,2.5365,2.5365
2018,7,0,0.18125
2018,8,0,0
2018,9,0,0
2018,10,0,0
2019,5,27.7775,27.7775
2019,6,29.3475,29.3475
2019,7,0.725,4.67
2019,8,0,0.724666666666667
2019,9,NA,NA
2019,10,58.212,58.212
2020,5,0,0
2020,6,2.899,2.899
2020,7,0,0
2020,8,0,0
2020,9,0,0
2020,10,0,0
2021,5,0,0
2021,6,0.3625,0.3625
2021,7,0,0
2021,8,0,0
2021,9,0,0
2021,10,0,0
2022,5,33.575,33.575
2022,6,9.903,9.903
2022,7,0,0.966333333333333
2022,8,0,0
2022,9,0,0
2022,10,0,0
2023,5,15.942,15.942
2023,6,2.899,3.62333333333333
2023,7,0.725,1.691
2023,8,0.725,0.966333333333333
2023,9,0,0
2023,10,19.9275,19.9275
