"Year","Month","Mesic_median","Mesic_mean"
1984,5,NA,NA
1984,6,42.011,42.011
1984,7,32.782,32.782
1984,8,NA,NA
1984,9,NA,NA
1984,10,NA,NA
1985,5,67.493,66.3296666666667
1985,6,18.089,18.089
1985,7,20.293,20.293
1985,8,NA,NA
1985,9,NA,NA
1985,10,NA,NA
1986,5,78.88,78.88
1986,6,52.158,52.158
1986,7,NA,NA
1986,8,8.265,8.265
1986,9,NA,NA
1986,10,32.415,32.415
1987,5,52.617,52.617
1987,6,10.652,10.652
1987,7,34.481,34.481
1987,8,0,0
1987,9,36.1335,36.1335
1987,10,21.763,23.8443333333333
1988,5,63.269,63.269
1988,6,0,0
1988,7,12.121,14.5086666666667
1988,8,12.397,10.3153333333333
1988,9,5.923,5.923
1988,10,10.377,10.53
1989,5,NA,NA
1989,6,88.246,88.246
1989,7,29.5225,29.5225
1989,8,15.8865,15.8865
1989,9,12.948,12.948
1989,10,9.367,9.367
1990,5,0,0
1990,6,38.752,38.752
1990,7,NA,NA
1990,8,22.9115,22.9115
1990,9,20.57,20.57
1990,10,NA,NA
1991,5,81.083,81.083
1991,6,NA,NA
1991,7,NA,NA
1991,8,24.151,28.406
1991,9,NA,NA
1991,10,0,0
1992,5,20.386,20.386
1992,6,13.223,13.223
1992,7,NA,NA
1992,8,5.142,5.142
1992,9,0,0
1992,10,NA,NA
1993,5,68.87,68.87
1993,6,85.629,85.629
1993,7,67.3555,67.3555
1993,8,26.814,26.814
1993,9,8.4025,8.4025
1993,10,1.928,2.11166666666667
1994,5,65.748,65.748
1994,6,NA,NA
1994,7,19.238,19.238
1994,8,8.8155,8.8155
1994,9,4.867,4.867
1994,10,NA,NA
1995,5,NA,NA
1995,6,NA,NA
1995,7,55.8775,55.8775
1995,8,34.528,34.528
1995,9,21.58,21.58
1995,10,0.826,0.826
1996,5,40.358,40.358
1996,6,60.652,60.652
1996,7,25.666,25.98775
1996,8,18.55,18.5496666666667
1996,9,NA,NA
1996,10,3.673,3.673
1997,5,27.089,27.089
1997,6,63.361,63.361
1997,7,46.649,46.649
1997,8,21.947,21.947
1997,9,17.631,17.631
1997,10,1.2395,1.2395
1998,5,NA,NA
1998,6,80.8545,80.8545
1998,7,47.567,52.0363333333333
1998,8,30.12,28.4976666666667
1998,9,16.208,13.36125
1998,10,3.306,3.704
1999,5,15.427,15.427
1999,6,0,0
1999,7,19.5595,19.5595
1999,8,22.039,22.039
1999,9,16.9425,16.9425
1999,10,3.4895,3.4895
2000,5,11.938,11.938
2000,6,29.2015,29.2015
2000,7,31.13,31.13
2000,8,31.773,29.9135
2000,9,12.122,12.122
2000,10,3.581,3.581
2001,5,54.637,54.637
2001,6,35.354,35.354
2001,7,NA,NA
2001,8,21.534,21.534
2001,9,9.091,9.091
2001,10,0,0
2002,5,0,0
2002,6,NA,NA
2002,7,32.691,32.691
2002,8,26.722,24.0286666666667
2002,9,17.356,17.356
2002,10,0,0
2003,5,42.7,42.7
2003,6,33.518,39.7006666666667
2003,7,27.457,28.008
2003,8,20.019,22.4063333333333
2003,9,19.5595,19.5595
2003,10,0,0
2004,5,57.577,57.577
2004,6,72.727,70.9523333333333
2004,7,38.3845,38.3845
2004,8,25.987,25.13
2004,9,3.306,7.591
2004,10,0.551,0.551
2005,5,NA,NA
2005,6,50.3675,50.3675
2005,7,24.8395,24.8395
2005,8,2.938,7.13166666666667
2005,9,3.398,5.72433333333333
2005,10,5.694,5.694
2006,5,13.59,13.59
2006,6,53.903,53.903
2006,7,34.849,34.13725
2006,8,21.212,19.7123333333333
2006,9,13.04,11.601
2006,10,0.3215,0.3215
2007,5,49.587,49.587
2007,6,25.436,25.436
2007,7,23.6,20.937
2007,8,12.397,15.274
2007,9,16.07,16.07
2007,10,NA,NA
2008,5,NA,NA
2008,6,45.363,45.363
2008,7,46.465,45.4543333333333
2008,8,46.098,38.996
