"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,0,0,1984-05-15
1984,6,16.9845,16.9845,1984-06-15
1984,7,NA,NA,1984-07-15
1984,8,NA,NA,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,NA,NA,1985-05-15
1985,6,NA,NA,1985-06-15
1985,7,NA,NA,1985-07-15
1985,8,NA,NA,1985-08-15
1985,9,NA,NA,1985-09-15
1985,10,NA,NA,1985-10-15
1986,5,0,0,1986-05-15
1986,6,0,0,1986-06-15
1986,7,NA,NA,1986-07-15
1986,8,35.872,35.872,1986-08-15
1986,9,NA,NA,1986-09-15
1986,10,NA,NA,1986-10-15
1987,5,NA,NA,1987-05-15
1987,6,76.825,76.825,1987-06-15
1987,7,28.254,28.254,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,3.016,3.016,1987-09-15
1987,10,NA,NA,1987-10-15
1988,5,0,0,1988-05-15
1988,6,1.9045,1.9045,1988-06-15
1988,7,NA,NA,1988-07-15
1988,8,67.618,67.618,1988-08-15
1988,9,NA,NA,1988-09-15
1988,10,NA,NA,1988-10-15
1989,5,3.809,3.809,1989-05-15
1989,6,NA,NA,1989-06-15
1989,7,85.079,85.079,1989-07-15
1989,8,74.92,74.92,1989-08-15
1989,9,20.952,20.952,1989-09-15
1989,10,0,0,1989-10-15
1990,5,NA,NA,1990-05-15
1990,6,NA,NA,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,NA,NA,1990-08-15
1990,9,36.824,36.824,1990-09-15
1990,10,0,0,1990-10-15
1991,5,NA,NA,1991-05-15
1991,6,1.587,1.587,1991-06-15
1991,7,0.952,0.952,1991-07-15
1991,8,NA,NA,1991-08-15
1991,9,44.4435,44.4435,1991-09-15
1991,10,0,0,1991-10-15
1992,5,NA,NA,1992-05-15
1992,6,4.444,4.444,1992-06-15
1992,7,2.857,2.857,1992-07-15
1992,8,NA,NA,1992-08-15
1992,9,0,0,1992-09-15
1992,10,NA,NA,1992-10-15
1993,5,NA,NA,1993-05-15
1993,6,21.905,21.905,1993-06-15
1993,7,NA,NA,1993-07-15
1993,8,4.127,4.127,1993-08-15
1993,9,0,0,1993-09-15
1993,10,NA,NA,1993-10-15
1994,5,0,0,1994-05-15
1994,6,39.047,39.047,1994-06-15
1994,7,NA,NA,1994-07-15
1994,8,0,0,1994-08-15
1994,9,NA,NA,1994-09-15
1994,10,0,0,1994-10-15
1995,5,NA,NA,1995-05-15
1995,6,2.857,2.857,1995-06-15
1995,7,83.174,83.174,1995-07-15
1995,8,81.7455,81.7455,1995-08-15
1995,9,80.317,80.317,1995-09-15
1995,10,15.5555,15.5555,1995-10-15
1996,5,0,0,1996-05-15
1996,6,NA,NA,1996-06-15
1996,7,NA,NA,1996-07-15
1996,8,11.746,11.746,1996-08-15
1996,9,NA,NA,1996-09-15
1996,10,NA,NA,1996-10-15
1997,5,NA,NA,1997-05-15
1997,6,NA,NA,1997-06-15
1997,7,68.254,68.254,1997-07-15
1997,8,75.238,75.238,1997-08-15
1997,9,66.666,66.666,1997-09-15
1997,10,0,0,1997-10-15
1998,5,0,0,1998-05-15
1998,6,NA,NA,1998-06-15
1998,7,NA,NA,1998-07-15
1998,8,84.2855,84.2855,1998-08-15
1998,9,32.38,32.38,1998-09-15
1998,10,0,0,1998-10-15
1999,5,0,0,1999-05-15
1999,6,34.9205,34.9205,1999-06-15
1999,7,NA,NA,1999-07-15
1999,8,80.635,80.635,1999-08-15
1999,9,NA,NA,1999-09-15
1999,10,0,0,1999-10-15
2000,5,NA,NA,2000-05-15
2000,6,NA,NA,2000-06-15
2000,7,NA,NA,2000-07-15
2000,8,0,0,2000-08-15
2000,9,3.809,3.809,2000-09-15
2000,10,0,0,2000-10-15
2001,5,0,0,2001-05-15
2001,6,19.365,19.365,2001-06-15
2001,7,NA,NA,2001-07-15
2001,8,NA,NA,2001-08-15
2001,9,NA,NA,2001-09-15
2001,10,0,0,2001-10-15
2002,5,NA,NA,2002-05-15
2002,6,NA,NA,2002-06-15
2002,7,0.476,0.476,2002-07-15
2002,8,NA,NA,2002-08-15
2002,9,NA,NA,2002-09-15
2002,10,0,0,2002-10-15
2003,5,NA,NA,2003-05-15
2003,6,4.444,4.444,2003-06-15
2003,7,51.11,51.11,2003-07-15
2003,8,NA,NA,2003-08-15
2003,9,2.222,2.222,2003-09-15
2003,10,0,0,2003-10-15
2004,5,0,0,2004-05-15
2004,6,NA,NA,2004-06-15
2004,7,19.682,19.682,2004-07-15
2004,8,NA,NA,2004-08-15
2004,9,0,0,2004-09-15
2004,10,0,0,2004-10-15
2005,5,0,0,2005-05-15
2005,6,0,0,2005-06-15
2005,7,NA,NA,2005-07-15
2005,8,NA,NA,2005-08-15
2005,9,54.603,54.603,2005-09-15
2005,10,0,0,2005-10-15
2006,5,0,0,2006-05-15
2006,6,NA,NA,2006-06-15
2006,7,NA,NA,2006-07-15
2006,8,75.873,75.873,2006-08-15
2006,9,0,0,2006-09-15
2006,10,NA,NA,2006-10-15
2007,5,NA,NA,2007-05-15
2007,6,0,0,2007-06-15
2007,7,0,0,2007-07-15
2007,8,80.952,80.952,2007-08-15
2007,9,NA,NA,2007-09-15
2007,10,0,0,2007-10-15
2008,5,0,0,2008-05-15
2008,6,0,0,2008-06-15
2008,7,NA,NA,2008-07-15
2008,8,NA,NA,2008-08-15
2008,9,NA,NA,2008-09-15
2008,10,NA,NA,2008-10-15
2009,5,0,0,2009-05-15
2009,6,NA,NA,2009-06-15
2009,7,NA,NA,2009-07-15
2009,8,4.7615,4.7615,2009-08-15
2009,9,NA,NA,2009-09-15
2009,10,NA,NA,2009-10-15
2010,5,0,0,2010-05-15
2010,6,26.349,26.349,2010-06-15
2010,7,NA,NA,2010-07-15
2010,8,NA,NA,2010-08-15
2010,9,0,0,2010-09-15
2010,10,0,0,2010-10-15
2011,5,0,0,2011-05-15
2011,6,0,0,2011-06-15
2011,7,NA,NA,2011-07-15
