"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,NA,NA,1984-05-15
1984,6,31.566,31.566,1984-06-15
1984,7,28.957,28.957,1984-07-15
1984,8,NA,NA,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,76.599,76.992,1985-05-15
1985,6,69.866,69.866,1985-06-15
1985,7,3.1145,3.1145,1985-07-15
1985,8,NA,NA,1985-08-15
1985,9,NA,NA,1985-09-15
1985,10,NA,NA,1985-10-15
1986,5,67.172,67.172,1986-05-15
1986,6,36.953,36.953,1986-06-15
1986,7,NA,NA,1986-07-15
1986,8,2.02,2.02,1986-08-15
1986,9,NA,NA,1986-09-15
1986,10,4.209,4.209,1986-10-15
1987,5,75.59,75.59,1987-05-15
1987,6,54.967,54.967,1987-06-15
1987,7,0,0,1987-07-15
1987,8,0,0,1987-08-15
1987,9,0,0,1987-09-15
1987,10,0,0.673333333333333,1987-10-15
1988,5,88.215,88.215,1988-05-15
1988,6,68.519,68.519,1988-06-15
1988,7,58.081,40.8533333333333,1988-07-15
1988,8,6.061,8.97866666666667,1988-08-15
1988,9,0,0,1988-09-15
1988,10,0,0,1988-10-15
1989,5,NA,NA,1989-05-15
1989,6,88.721,88.721,1989-06-15
1989,7,15.0675,15.0675,1989-07-15
1989,8,0,0,1989-08-15
1989,9,4.545,4.545,1989-09-15
1989,10,4.545,4.545,1989-10-15
1990,5,57.239,57.239,1990-05-15
1990,6,37.542,37.542,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,2.1045,2.1045,1990-08-15
1990,9,6.229,6.229,1990-09-15
1990,10,NA,NA,1990-10-15
1991,5,88.384,88.384,1991-05-15
1991,6,NA,NA,1991-06-15
1991,7,NA,NA,1991-07-15
1991,8,0,0,1991-08-15
1991,9,NA,NA,1991-09-15
1991,10,0,0,1991-10-15
1992,5,26.936,26.936,1992-05-15
1992,6,22.896,22.896,1992-06-15
1992,7,NA,NA,1992-07-15
1992,8,0,0,1992-08-15
1992,9,0,0,1992-09-15
1992,10,NA,NA,1992-10-15
1993,5,79.461,79.461,1993-05-15
1993,6,91.2455,91.2455,1993-06-15
1993,7,63.1315,63.1315,1993-07-15
1993,8,18.9395,18.9395,1993-08-15
1993,9,0,0,1993-09-15
1993,10,0,0,1993-10-15
1994,5,62.627,62.627,1994-05-15
1994,6,NA,NA,1994-06-15
1994,7,10.522,10.522,1994-07-15
1994,8,0,0,1994-08-15
1994,9,0,0,1994-09-15
1994,10,NA,NA,1994-10-15
1995,5,NA,NA,1995-05-15
1995,6,NA,NA,1995-06-15
1995,7,50.337,50.337,1995-07-15
1995,8,3.788,3.788,1995-08-15
1995,9,0,0,1995-09-15
1995,10,0,0,1995-10-15
1996,5,43.4345,43.4345,1996-05-15
1996,6,75.505,75.505,1996-06-15
1996,7,26.2625,30.303,1996-07-15
1996,8,6.229,5.38733333333333,1996-08-15
1996,9,NA,NA,1996-09-15
1996,10,0,0,1996-10-15
1997,5,0,0,1997-05-15
1997,6,80.977,80.977,1997-06-15
1997,7,22.3065,22.3065,1997-07-15
1997,8,5.303,5.303,1997-08-15
1997,9,0,0,1997-09-15
1997,10,0,0,1997-10-15
1998,5,NA,NA,1998-05-15
1998,6,80.9765,80.9765,1998-06-15
1998,7,55.893,52.4133333333333,1998-07-15
1998,8,18.013,15.993,1998-08-15
1998,9,0.7575,0.968,1998-09-15
1998,10,0,0,1998-10-15
1999,5,8.754,8.754,1999-05-15
1999,6,43.435,43.435,1999-06-15
1999,7,21.8015,21.8015,1999-07-15
1999,8,21.212,21.212,1999-08-15
1999,9,10.4375,10.4375,1999-09-15
1999,10,0,0,1999-10-15
2000,5,58.923,58.923,2000-05-15
2000,6,46.8015,46.8015,2000-06-15
2000,7,24.748,24.748,2000-07-15
2000,8,11.7005,9.3855,2000-08-15
2000,9,0,0,2000-09-15
2000,10,0,0,2000-10-15
2001,5,23.064,23.064,2001-05-15
2001,6,33.502,33.502,2001-06-15
2001,7,NA,NA,2001-07-15
2001,8,10.69,10.69,2001-08-15
2001,9,0,0,2001-09-15
2001,10,0,0,2001-10-15
2002,5,0,0,2002-05-15
2002,6,NA,NA,2002-06-15
2002,7,33.5015,33.5015,2002-07-15
2002,8,9.596,6.734,2002-08-15
2002,9,2.5255,2.5255,2002-09-15
2002,10,0,0,2002-10-15
2003,5,44.781,44.781,2003-05-15
2003,6,75.758,74.411,2003-06-15
2003,7,32.997,33.951,2003-07-15
2003,8,9.596,9.76433333333333,2003-08-15
2003,9,6.818,6.818,2003-09-15
2003,10,0,0,2003-10-15
2004,5,85.017,85.017,2004-05-15
2004,6,86.027,85.634,2004-06-15
2004,7,44.613,44.613,2004-07-15
