"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,0,0,1984-05-15
1984,6,0.0955,0.0955,1984-06-15
1984,7,NA,NA,1984-07-15
1984,8,NA,NA,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,NA,NA,1985-05-15
1985,6,NA,NA,1985-06-15
1985,7,NA,NA,1985-07-15
1985,8,NA,NA,1985-08-15
1985,9,NA,NA,1985-09-15
1985,10,NA,NA,1985-10-15
1986,5,0,0,1986-05-15
1986,6,88.713,88.713,1986-06-15
1986,7,NA,NA,1986-07-15
1986,8,96.402,96.402,1986-08-15
1986,9,NA,NA,1986-09-15
1986,10,NA,NA,1986-10-15
1987,5,NA,NA,1987-05-15
1987,6,97.405,97.405,1987-06-15
1987,7,98.106,98.106,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,38.356,38.356,1987-09-15
1987,10,NA,NA,1987-10-15
1988,5,0,0,1988-05-15
1988,6,0.0635,0.0635,1988-06-15
1988,7,NA,NA,1988-07-15
1988,8,84.305,84.305,1988-08-15
1988,9,NA,NA,1988-09-15
1988,10,NA,NA,1988-10-15
1989,5,1.114,1.114,1989-05-15
1989,6,NA,NA,1989-06-15
1989,7,90.656,90.656,1989-07-15
1989,8,92.693,92.693,1989-08-15
1989,9,41.324,41.324,1989-09-15
1989,10,0.955,0.955,1989-10-15
1990,5,NA,NA,1990-05-15
1990,6,NA,NA,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,NA,NA,1990-08-15
1990,9,57.179,57.179,1990-09-15
1990,10,1.592,1.592,1990-10-15
1991,5,NA,NA,1991-05-15
1991,6,11.859,11.859,1991-06-15
1991,7,23.56,23.56,1991-07-15
1991,8,NA,NA,1991-08-15
1991,9,79.974,79.974,1991-09-15
1991,10,0,0,1991-10-15
1992,5,NA,NA,1992-05-15
1992,6,69.484,69.484,1992-06-15
1992,7,91.117,91.117,1992-07-15
1992,8,NA,NA,1992-08-15
1992,9,15.5365,15.5365,1992-09-15
1992,10,NA,NA,1992-10-15
1993,5,NA,NA,1993-05-15
1993,6,70.471,70.471,1993-06-15
1993,7,NA,NA,1993-07-15
1993,8,84.607,84.607,1993-08-15
1993,9,47.334,47.334,1993-09-15
1993,10,NA,NA,1993-10-15
1994,5,0,0,1994-05-15
1994,6,38.396,38.396,1994-06-15
1994,7,NA,NA,1994-07-15
1994,8,0,0,1994-08-15
1994,9,NA,NA,1994-09-15
1994,10,0,0,1994-10-15
1995,5,NA,NA,1995-05-15
1995,6,8.246,8.246,1995-06-15
1995,7,96.482,96.482,1995-07-15
1995,8,97.3495,97.3495,1995-08-15
1995,9,95.145,95.145,1995-09-15
1995,10,25.6205,25.6205,1995-10-15
1996,5,3.3825,3.3825,1996-05-15
1996,6,NA,NA,1996-06-15
1996,7,NA,NA,1996-07-15
1996,8,70.511,70.511,1996-08-15
1996,9,NA,NA,1996-09-15
1996,10,NA,NA,1996-10-15
1997,5,NA,NA,1997-05-15
1997,6,NA,NA,1997-06-15
1997,7,97.31,97.31,1997-07-15
1997,8,0.318,0.318,1997-08-15
1997,9,61.461,61.461,1997-09-15
1997,10,0,0,1997-10-15
1998,5,0,0,1998-05-15
1998,6,NA,NA,1998-06-15
1998,7,NA,NA,1998-07-15
1998,8,40.1785,40.1785,1998-08-15
1998,9,80.102,80.102,1998-09-15
1998,10,2.579,2.579,1998-10-15
1999,5,0,0,1999-05-15
1999,6,34.997,34.997,1999-06-15
1999,7,NA,NA,1999-07-15
1999,8,98.297,98.297,1999-08-15
1999,9,NA,NA,1999-09-15
1999,10,0,0,1999-10-15
2000,5,NA,NA,2000-05-15
2000,6,NA,NA,2000-06-15
2000,7,NA,NA,2000-07-15
2000,8,23.576,23.576,2000-08-15
2000,9,48.774,48.774,2000-09-15
2000,10,0,0,2000-10-15
2001,5,0,0,2001-05-15
2001,6,72.461,72.461,2001-06-15
2001,7,NA,NA,2001-07-15
2001,8,NA,NA,2001-08-15
2001,9,NA,NA,2001-09-15
2001,10,0.446,0.446,2001-10-15
2002,5,NA,NA,2002-05-15
2002,6,NA,NA,2002-06-15
2002,7,23.726,23.726,2002-07-15
2002,8,NA,NA,2002-08-15
2002,9,NA,NA,2002-09-15
2002,10,0,0,2002-10-15
2003,5,NA,NA,2003-05-15
2003,6,12.13,12.13,2003-06-15
2003,7,87.886,87.886,2003-07-15
2003,8,NA,NA,2003-08-15
2003,9,44.174,44.174,2003-09-15
2003,10,0.78,0.78,2003-10-15
2004,5,0,0,2004-05-15
2004,6,NA,NA,2004-06-15
2004,7,75.979,75.979,2004-07-15
2004,8,NA,NA,2004-08-15
2004,9,81.757,81.757,2004-09-15
2004,10,2.611,2.611,2004-10-15
2005,5,1.146,1.146,2005-05-15
2005,6,11.175,11.175,2005-06-15
2005,7,NA,NA,2005-07-15
2005,8,NA,NA,2005-08-15
2005,9,79.688,79.688,2005-09-15
2005,10,0,0,2005-10-15
2006,5,0.191,0.191,2006-05-15
2006,6,NA,NA,2006-06-15
2006,7,NA,NA,2006-07-15
2006,8,96.96,96.96,2006-08-15
2006,9,2.053,2.053,2006-09-15
2006,10,NA,NA,2006-10-15
2007,5,NA,NA,2007-05-15
2007,6,32.22,32.22,2007-06-15
2007,7,55.396,55.396,2007-07-15
2007,8,98.01,98.01,2007-08-15
2007,9,NA,NA,2007-09-15
2007,10,1.751,1.751,2007-10-15
2008,5,0,0,2008-05-15
2008,6,0,0,2008-06-15
2008,7,NA,NA,2008-07-15
2008,8,NA,NA,2008-08-15
2008,9,NA,NA,2008-09-15
2008,10,NA,NA,2008-10-15
2009,5,0,0,2009-05-15
2009,6,NA,NA,2009-06-15
2009,7,NA,NA,2009-07-15
2009,8,76.703,76.703,2009-08-15
2009,9,NA,NA,2009-09-15
2009,10,NA,NA,2009-10-15
2010,5,0,0,2010-05-15
2010,6,54.314,54.314,2010-06-15
2010,7,NA,NA,2010-07-15
2010,8,NA,NA,2010-08-15
2010,9,20.105,20.105,2010-09-15
2010,10,0.143,0.143,2010-10-15
2011,5,0,0,2011-05-15
2011,6,12.647,12.647,2011-06-15
2011,7,NA,NA,2011-07-15
2011,8,14.358,14.358,2011-08-15
2011,9,27.459,27.459,2011-09-15
2011,10,0,0,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,NA,NA,2013-06-15
2013,7,NA,NA,2013-07-15
2013,8,31.997,31.997,2013-08-15
