"Year","Month","Mesic_median","Mesic_mean","Date"
1984,5,NA,NA,1984-05-15
1984,6,0,0,1984-06-15
1984,7,8.72,8.72,1984-07-15
1984,8,NA,NA,1984-08-15
1984,9,NA,NA,1984-09-15
1984,10,NA,NA,1984-10-15
1985,5,0.879,0.879,1985-05-15
1985,6,11.252,11.252,1985-06-15
1985,7,4.747,4.747,1985-07-15
1985,8,14.276,14.276,1985-08-15
1985,9,NA,NA,1985-09-15
1985,10,9.916,9.916,1985-10-15
1986,5,2.057,2.057,1986-05-15
1986,6,NA,NA,1986-06-15
1986,7,16.35,16.35,1986-07-15
1986,8,11.568,11.568,1986-08-15
1986,9,NA,NA,1986-09-15
1986,10,6.892,6.892,1986-10-15
1987,5,25.176,25.176,1987-05-15
1987,6,17.827,17.827,1987-06-15
1987,7,NA,NA,1987-07-15
1987,8,NA,NA,1987-08-15
1987,9,23.2065,23.2065,1987-09-15
1987,10,9.107,9.107,1987-10-15
1988,5,7.313,7.313,1988-05-15
1988,6,NA,NA,1988-06-15
1988,7,10.2145,10.2145,1988-07-15
1988,8,15.6115,15.6115,1988-08-15
1988,9,24.508,24.508,1988-09-15
1988,10,17.862,17.862,1988-10-15
1989,5,NA,NA,1989-05-15
1989,6,18.829,18.829,1989-06-15
1989,7,NA,NA,1989-07-15
1989,8,17.686,17.686,1989-08-15
1989,9,13.7835,13.7835,1989-09-15
1989,10,2.5315,2.5315,1989-10-15
1990,5,NA,NA,1990-05-15
1990,6,NA,NA,1990-06-15
1990,7,NA,NA,1990-07-15
1990,8,15.19,15.19,1990-08-15
1990,9,NA,NA,1990-09-15
1990,10,NA,NA,1990-10-15
1991,5,NA,NA,1991-05-15
1991,6,NA,NA,1991-06-15
1991,7,NA,NA,1991-07-15
1991,8,12.148,12.148,1991-08-15
1991,9,15.4535,15.4535,1991-09-15
1991,10,7.894,7.894,1991-10-15
1992,5,18.829,18.829,1992-05-15
1992,6,NA,NA,1992-06-15
1992,7,26.125,26.125,1992-07-15
1992,8,29.6065,29.6065,1992-08-15
1992,9,22.433,22.433,1992-09-15
1992,10,6.927,6.927,1992-10-15
1993,5,NA,NA,1993-05-15
1993,6,42.406,42.406,1993-06-15
1993,7,32.384,32.384,1993-07-15
1993,8,43.144,43.144,1993-08-15
1993,9,37.975,37.975,1993-09-15
1993,10,6.505,6.505,1993-10-15
1994,5,NA,NA,1994-05-15
1994,6,NA,NA,1994-06-15
1994,7,36.814,36.814,1994-07-15
1994,8,43.425,43.425,1994-08-15
1994,9,34.529,34.529,1994-09-15
1994,10,NA,NA,1994-10-15
1995,5,35.76,35.76,1995-05-15
1995,6,40.647,40.647,1995-06-15
1995,7,56.892,56.892,1995-07-15
1995,8,NA,NA,1995-08-15
1995,9,41.456,41.456,1995-09-15
1995,10,15.999,15.999,1995-10-15
1996,5,21.8705,21.8705,1996-05-15
1996,6,50.316,50.316,1996-06-15
1996,7,47.9605,47.9605,1996-07-15
1996,8,45.781,45.781,1996-08-15
1996,9,NA,NA,1996-09-15
1996,10,12.236,12.236,1996-10-15
1997,5,0,0,1997-05-15
1997,6,13.642,13.642,1997-06-15
1997,7,17.827,17.827,1997-07-15
1997,8,34.74,34.74,1997-08-15
1997,9,NA,NA,1997-09-15
1997,10,9.599,9.599,1997-10-15
1998,5,NA,NA,1998-05-15
1998,6,40.172,40.172,1998-06-15
1998,7,19.866,19.866,1998-07-15
1998,8,25.316,25.316,1998-08-15
1998,9,26.7755,26.7755,1998-09-15
1998,10,12.5705,12.5705,1998-10-15
1999,5,5.345,5.345,1999-05-15
1999,6,NA,NA,1999-06-15
1999,7,19.691,19.691,1999-07-15
1999,8,NA,NA,1999-08-15
1999,9,54.22,54.22,1999-09-15
1999,10,6.892,6.892,1999-10-15
2000,5,19.339,19.339,2000-05-15
2000,6,14.416,14.416,2000-06-15
2000,7,9.634,9.634,2000-07-15
2000,8,12.57,12.57,2000-08-15
2000,9,14.873,14.873,2000-09-15
2000,10,NA,NA,2000-10-15
2001,5,41.667,41.667,2001-05-15
2001,6,NA,NA,2001-06-15
2001,7,35.337,35.337,2001-07-15
2001,8,32.1905,32.1905,2001-08-15
2001,9,31.61,31.61,2001-09-15
2001,10,NA,NA,2001-10-15
2002,5,0.105,0.105,2002-05-15
2002,6,17.124,17.124,2002-06-15
2002,7,47.222,47.222,2002-07-15
2002,8,48.91,48.91,2002-08-15
2002,9,NA,NA,2002-09-15
2002,10,26.688,26.688,2002-10-15
2003,5,NA,NA,2003-05-15
2003,6,35.443,35.443,2003-06-15
2003,7,27.602,27.602,2003-07-15
2003,8,18.811,18.811,2003-08-15
2003,9,26.688,26.688,2003-09-15
2003,10,18.337,18.337,2003-10-15
2004,5,NA,NA,2004-05-15
2004,6,19.743,19.743,2004-06-15
2004,7,NA,NA,2004-07-15
2004,8,30.0105,30.0105,2004-08-15
2004,9,40.6645,40.6645,2004-09-15
2004,10,17.265,17.265,2004-10-15
2005,5,NA,NA,2005-05-15
2005,6,46.343,46.343,2005-06-15
2005,7,NA,NA,2005-07-15
2005,8,17.5635,17.5635,2005-08-15
2005,9,25.088,25.088,2005-09-15
2005,10,15.612,15.612,2005-10-15
2006,5,NA,NA,2006-05-15
2006,6,21.449,21.449,2006-06-15
2006,7,10.83,10.83,2006-07-15
2006,8,42.018,42.018,2006-08-15
2006,9,26.705,26.705,2006-09-15
2006,10,5.239,5.239,2006-10-15
2007,5,2.286,2.286,2007-05-15
2007,6,25.387,25.387,2007-06-15
2007,7,41.3675,41.3675,2007-07-15
2007,8,50.9845,50.9845,2007-08-15
2007,9,NA,NA,2007-09-15
2007,10,NA,NA,2007-10-15
2008,5,NA,NA,2008-05-15
2008,6,31.364,31.364,2008-06-15
2008,7,0,0,2008-07-15
2008,8,47.257,47.257,2008-08-15
2008,9,34.529,34.529,2008-09-15
2008,10,NA,NA,2008-10-15
2009,5,18.108,18.108,2009-05-15
2009,6,NA,NA,2009-06-15
2009,7,18.7235,18.7235,2009-07-15
2009,8,27.18,27.18,2009-08-15
2009,9,NA,NA,2009-09-15
2009,10,22.292,22.292,2009-10-15
2010,5,NA,NA,2010-05-15
2010,6,3.832,3.832,2010-06-15
2010,7,28.4465,28.4465,2010-07-15
2010,8,2.25,2.25,2010-08-15
2010,9,45.746,45.746,2010-09-15
2010,10,NA,NA,2010-10-15
2011,5,2.6195,2.6195,2011-05-15
2011,6,31.084,31.084,2011-06-15
2011,7,40.5245,40.5245,2011-07-15
2011,8,54.923,54.923,2011-08-15
2011,9,51.231,51.231,2011-09-15
2011,10,2.11,2.11,2011-10-15
2012,5,NA,NA,2012-05-15
2012,6,NA,NA,2012-06-15
2012,7,NA,NA,2012-07-15
2012,8,NA,NA,2012-08-15
2012,9,NA,NA,2012-09-15
2012,10,NA,NA,2012-10-15
2013,5,NA,NA,2013-05-15
2013,6,2.461,2.461,2013-06-15
2013,7,3.6395,3.6395,2013-07-15
2013,8,17.686,17.686,2013-08-15
2013,9,NA,NA,2013-09-15
2013,10,18.706,18.706,2013-10-15
2014,5,4.641,4.641,2014-05-15
2014,6,NA,NA,2014-06-15
2014,7,16.1035,16.1035,2014-07-15
2014,8,35.724,35.724,2014-08-15
2014,9,43.565,43.565,2014-09-15
2014,10,36.2345,36.2345,2014-10-15
2015,5,NA,NA,2015-05-15
2015,6,0,0,2015-06-15
2015,7,9.3355,9.3355,2015-07-15
2015,8,24.613,24.613,2015-08-15
2015,9,29.184,29.184,2015-09-15
2015,10,3.727,3.727,2015-10-15
2016,5,8.544,8.544,2016-05-15
2016,6,NA,NA,2016-06-15
2016,7,13.9065,13.9065,2016-07-15
2016,8,28.129,28.129,2016-08-15
2016,9,NA,NA,2016-09-15
2016,10,23.453,23.453,2016-10-15
2017,5,13.238,13.238,2017-05-15
2017,6,27.637,27.637,2017-06-15
2017,7,27.778,27.778,2017-07-15
2017,8,36.076,36.076,2017-08-15
2017,9,NA,NA,2017-09-15
2017,10,4.606,4.606,2017-10-15
2018,5,8.931,8.931,2018-05-15
2018,6,40.366,40.366,2018-06-15
2018,7,37.9395,37.9395,2018-07-15
2018,8,38.502,38.502,2018-08-15
2018,9,34.142,34.142,2018-09-15
2018,10,6.839,6.839,2018-10-15
2019,5,3.727,3.727,2019-05-15
2019,6,36.638,36.638,2019-06-15
2019,7,55.626,55.626,2019-07-15
2019,8,54.2545,54.2545,2019-08-15
2019,9,NA,NA,2019-09-15
2019,10,NA,NA,2019-10-15
2020,5,NA,NA,2020-05-15
2020,6,NA,NA,2020-06-15
2020,7,16.016,16.016,2020-07-15
2020,8,NA,NA,2020-08-15
2020,9,33.685,33.685,2020-09-15
2020,10,22.679,22.679,2020-10-15
2021,5,6.382,6.382,2021-05-15
2021,6,33.72,33.72,2021-06-15
2021,7,39.364,39.364,2021-07-15
2021,8,57.771,57.771,2021-08-15
2021,9,67.3875,67.3875,2021-09-15
2021,10,47.891,47.891,2021-10-15
2022,5,NA,NA,2022-05-15
2022,6,NA,NA,2022-06-15
2022,7,64.663,64.663,2022-07-15
2022,8,69.867,69.867,2022-08-15
2022,9,75.598,75.598,2022-09-15
2022,10,56.646,56.646,2022-10-15
2023,5,NA,NA,2023-05-15
2023,6,56.136,56.136,2023-06-15
2023,7,64.206,64.206,2023-07-15
2023,8,65.014,65.014,2023-08-15
2023,9,69.937,69.937,2023-09-15
2023,10,8.052,8.052,2023-10-15
