system:time_start,pdsi,spei1y
"May 1, 1984",4.603,1.058
"Jun 1, 1984",4.524,1.538
"Jul 1, 1984",4.825,1.169
"Aug 1, 1984",4.7,0.909
"Sep 1, 1984",4.545,0.897
"Oct 1, 1984",4.44,1.158
"May 1, 1985",2.006,0.381
"Jun 1, 1985",1.378,0.083
"Jul 1, 1985",0.194,-0.32
"Aug 1, 1985",-0.652,-0.342
"Sep 1, 1985",-0.69,-0.29
"Oct 1, 1985",-0.411,-0.273
"May 1, 1986",1.227,0.209
"Jun 1, 1986",0.372,-0.21
"Jul 1, 1986",-0.915,0.061
"Aug 1, 1986",-1.231,-0.084
"Sep 1, 1986",-1.307,-0.153
"Oct 1, 1986",0.302,0.061
"May 1, 1987",-0.998,-0.764
"Jun 1, 1987",-1.467,-0.392
"Jul 1, 1987",-1.487,-0.139
"Aug 1, 1987",0.747,0.308
"Sep 1, 1987",0.929,0.095
"Oct 1, 1987",-0.476,-0.48
"May 1, 1988",-2.775,-1.373
"Jun 1, 1988",-2.788,-0.768
"Jul 1, 1988",-2.877,-1.292
"Aug 1, 1988",-3.099,-1.894
"Sep 1, 1988",-3.191,-1.834
"Oct 1, 1988",-3.41,-1.8
"May 1, 1989",-0.297,-0.351
"Jun 1, 1989",-0.077,-0.819
"Jul 1, 1989",-0.243,-0.509
"Aug 1, 1989",-0.302,-0.182
"Sep 1, 1989",0.257,0.224
"Oct 1, 1989",0.12,0.346
"May 1, 1990",-2.678,-0.485
"Jun 1, 1990",-2.23,0.063
"Jul 1, 1990",-2.265,-0.093
"Aug 1, 1990",-2.223,-0.208
"Sep 1, 1990",-1.601,-0.182
"Oct 1, 1990",-1.671,-0.179
"May 1, 1991",-3.053,0.126
"Jun 1, 1991",-2.624,0.025
"Jul 1, 1991",-2.31,0.252
"Aug 1, 1991",-2.024,0.207
"Sep 1, 1991",-1.917,-0.066
"Oct 1, 1991",-2.319,-0.185
"May 1, 1992",-2.684,-0.548
"Jun 1, 1992",-3.371,-1.519
"Jul 1, 1992",-3.137,-1.256
"Aug 1, 1992",-2.557,-1.117
"Sep 1, 1992",-2.592,-1.088
"Oct 1, 1992",-2.412,-0.627
"May 1, 1993",2.312,0.683
"Jun 1, 1993",2.96,1.054
"Jul 1, 1993",3.469,1
"Aug 1, 1993",3.837,1.257
"Sep 1, 1993",4.229,1.435
"Oct 1, 1993",3.595,1.378
"May 1, 1994",-3.578,-0.141
"Jun 1, 1994",-3.528,-0.638
"Jul 1, 1994",-3.776,-1.176
"Aug 1, 1994",-4.004,-1.695
"Sep 1, 1994",-4.043,-1.919
"Oct 1, 1994",-4.016,-1.977
"May 1, 1995",-0.98,0.017
"Jun 1, 1995",-0.383,0.011
"Jul 1, 1995",0.952,0.366
"Aug 1, 1995",1.503,0.527
"Sep 1, 1995",1.468,0.595
"Oct 1, 1995",1.59,0.707
"May 1, 1996",3.313,1.247
"Jun 1, 1996",3.793,1.175
"Jul 1, 1996",4.112,1.091
"Aug 1, 1996",4.077,0.913
"Sep 1, 1996",3.633,0.895
"Oct 1, 1996",3.184,0.831
"May 1, 1997",5.558,1.24
"Jun 1, 1997",5.67,1.262
"Jul 1, 1997",6.071,1.639
"Aug 1, 1997",6.389,1.768
"Sep 1, 1997",6.458,2.032
"Oct 1, 1997",6.197,2.08
"May 1, 1998",4.311,1.382
"Jun 1, 1998",5.689,2.042
"Jul 1, 1998",6.421,1.94
"Aug 1, 1998",6.933,1.663
"Sep 1, 1998",6.587,1.187
"Oct 1, 1998",5.723,1.192
"May 1, 1999",4.528,1.205
"Jun 1, 1999",3.876,0.527
"Jul 1, 1999",3.291,0.354
"Aug 1, 1999",3.109,0.35
"Sep 1, 1999",3.123,0.465
"Oct 1, 1999",2.423,0.307
"May 1, 2000",1.067,-0.201
"Jun 1, 2000",0.071,-0.334
"Jul 1, 2000",-1.275,-0.456
"Aug 1, 2000",-1.723,-0.73
"Sep 1, 2000",-1.728,-0.702
"Oct 1, 2000",-1.442,-0.324
"May 1, 2001",-2.685,-1.669
"Jun 1, 2001",-3.314,-1.22
"Jul 1, 2001",-3.49,-0.803
"Aug 1, 2001",-3.214,-0.425
"Sep 1, 2001",-3.115,-0.581
"Oct 1, 2001",-3.077,-0.843
"May 1, 2002",-3.127,-1.204
"Jun 1, 2002",-3.464,-0.985
"Jul 1, 2002",-3.649,-1.25
"Aug 1, 2002",-3.779,-1.357
"Sep 1, 2002",-3.568,-1.246
"Oct 1, 2002",-3.485,-1.335
"May 1, 2003",-2.666,-1.254
"Jun 1, 2003",-2.78,-1.384
"Jul 1, 2003",-3.216,-1.363
"Aug 1, 2003",-3.342,-1.038
"Sep 1, 2003",-3.002,-1.059
"Oct 1, 2003",-2.783,-1.147
"May 1, 2004",-1.135,-0.898
"Jun 1, 2004",-0.3,-0.134
"Jul 1, 2004",0.016,-0.03
"Aug 1, 2004",0.258,0.034
